"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0656360132588461;0.269364773449906;0.00899882202740594;0.0948196389076865;0.392461338810022;0.241578712653018;37.56;0.0900000000000001;2876.55
"3";0;0.069422903678012;0.285576573197257;0.00979730982644553;0.0987628334336165;0.392034999202289;0.253561658977166;27.49;0.17;2062.74
"4";0;0.0696004874606512;0.28648982991707;0.00985468219579319;0.0990276833584492;0.392182976099382;0.254878776069078;27.41;0.16;2004.14
"5";0;0.0696437199469417;0.28645965516387;0.00985722718295046;0.0989705212543711;0.392233501248253;0.254613358346028;27.85;0.2;1996.02
"6";0;0.0697552669887161;0.286916171965305;0.00988742848562856;0.0990299410988599;0.392235208189553;0.254702328267818;28.04;0.280000000000001;1840.82
"7";0;0.0699087121262926;0.28707845809684;0.00993364121039901;0.0991180926321281;0.39234163605806;0.254720708461089;27.61;0.33;1758.47
"8";0;0.0716452235756683;0.294460073814799;0.0102184487882447;0.100445794559426;0.392356002458433;0.258245626890632;23.48;0.370000000000001;1419.06
"9";0;0.0733794092103501;0.30242057645499;0.010590163907165;0.101870894902242;0.392543648076719;0.261246562081635;20.81;0.400000000000001;1190.09
"10";0;0.0733991352599414;0.302402536934038;0.010557714394782;0.101622437011276;0.39214740439378;0.26104198093062;20.76;0.350000000000001;1137.08999999999
"11";0;0.073250500618578;0.301775555977618;0.0105368250068256;0.10138483079733;0.39214740439378;0.260306269274411;21.2500000000001;0.370000000000001;1134.22999999999
"12";0;0.0731183103861718;0.30181047612822;0.0105191777964909;0.101285090927113;0.391384592945862;0.261082721064941;21.4800000000001;0.380000000000001;1120.2
"13";0;0.0729677141352722;0.300870834375937;0.010490585036957;0.101174360680292;0.391384592945862;0.261573152478438;22.0299999999996;0.409999999999974;1119.84
"14";0;0.0734492266789969;0.301679759700014;0.0105141021029005;0.101274094576416;0.39137884522842;0.261840963702195;21.2599999999996;0.449999999999975;1072.01
"15";0;0.0737057375498682;0.301195501047605;0.0105093199215526;0.101218693991285;0.391463403146792;0.261796627896301;21.2199999999996;0.409999999999974;1022.77
"16";0;0.0736227633114254;0.301073060297132;0.0104860507896343;0.101042412542737;0.391449114511235;0.261326520143079;21.6899999999996;0.449999999999974;1017.81
"17";0;0.073529829521648;0.301590386869623;0.0104760992645042;0.100797006394339;0.390986950918036;0.262362921512835;21.8799999999996;0.459999999999974;1002.21
"18";0;0.0739818645936845;0.29969549075113;0.010628093537687;0.10142366873902;0.391255063581634;0.264346650512275;21.2299999999996;0.459999999999974;905.970000000003
"19";0;0.0739365714674889;0.299272853714424;0.0106299684445349;0.101271362169171;0.391392526008412;0.264754251067587;21.5899999999996;0.509999999999974;900.720000000007
"20";0;0.0736055073179673;0.297077005948399;0.0105133937962217;0.100280637522448;0.391705156768099;0.261874256698917;21.8299999999996;0.489999999999974;871.420000000006
"21";0;0.0737873084610646;0.297637372758333;0.0105254056806121;0.100333162628421;0.39169187573175;0.261989171803357;22.4699999999989;0.479999999999993;867.750000000007
"22";0;0.0738092016989022;0.29876485563881;0.0105465949763934;0.0999726377148964;0.39169187573175;0.260600289847338;22.9599999999989;0.549999999999992;863.590000000007
"23";0;0.0737866400189531;0.29863964055454;0.0105440509577925;0.0999550818655852;0.39169187573175;0.260665254649392;23.4799999999995;0.589999999999994;862.370000000004
"24";0;0.0741225044974244;0.299459907269002;0.010664146042062;0.100421605420804;0.391627050339825;0.261886508994854;23.5999999999995;0.629999999999993;838.160000000003
"25";0;0.0745328760651162;0.301616534221256;0.0107215253959772;0.100746487796969;0.391580467537242;0.262824464156242;23.9899999999995;0.659999999999993;823.330000000001
"26";0;0.0743332151858595;0.300933477747619;0.0106819294564188;0.100323681314853;0.391558846804567;0.261439781273122;24.6699999999994;0.619999999999993;807.899999999999
"27";0;0.0745864272971819;0.300645067641913;0.0107562003422079;0.100706774284629;0.391421382478186;0.26237055089996;24.6499999999995;0.609999999999993;763.569999999998
"28";0;0.0746711516036091;0.30052615858021;0.0107409109351676;0.10062455694601;0.391454585558268;0.2621638288384;24.9899999999995;0.629999999999992;743.359999999997
"29";0;0.074519602759828;0.300098834781417;0.0107259067961943;0.100513520849782;0.391273391567811;0.262173707936698;25.4999999999994;0.679999999999992;739.029999999995
"30";0;0.0745280984122396;0.300170685164033;0.0107268649323391;0.10051887819475;0.391273391567811;0.262192228260931;26.1899999999995;0.729999999999993;745.759999999997
"31";0;0.0746403169056817;0.300415081311707;0.0107586346088943;0.100681174707642;0.391273391567811;0.262556840478427;26.8399999999995;0.779999999999992;740.859999999995
"32";0;0.074807567969387;0.300173673566742;0.0107614257833858;0.100611155566458;0.391267772659857;0.262636267804044;27.3199999999999;0.770000000000003;733.059999999998
"33";0;0.0749873876485959;0.300721083135949;0.010817956899882;0.100920454370951;0.391289958198723;0.263721299734358;27.8500000000007;0.770000000000033;724.889999999994
"34";0;0.0748734071058428;0.299889423458379;0.0107351502009479;0.100400119755511;0.391290529333586;0.262159054363155;28.5500000000003;0.780000000000033;722.289999999995
"35";0;0.0749949672349672;0.300725802687417;0.0108428163137892;0.100744597068293;0.391290529333586;0.262898490350537;29.5599999999994;0.830000000000046;710.449999999997
"36";0;0.0748927345336867;0.300359202793604;0.0108293176382083;0.100632809016849;0.391290529333586;0.262840050541246;30.2399999999995;0.850000000000039;710.569999999998
"37";0;0.0749725435723897;0.300227069428178;0.0108645747414439;0.100827391089078;0.391252579684019;0.263360208422252;30.7099999999993;0.85000000000004;703.149999999994
