"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0671893467024868;0.276853688058652;0.00921089930427305;0.0942640275210059;0.393826294227392;0.237314977341625;28.77;0.43;1985.35
"3";0;0.066347904884526;0.269790135452505;0.00907647021578481;0.092991320740391;0.393556289671218;0.235373905681059;27.85;0.5;1861.76
"4";0;0.0675223672494451;0.27398540109326;0.00932210192185842;0.0944777194867204;0.393570557417014;0.239570148648271;24.79;0.45;1707.09
"5";0;0.0685411136300131;0.278059575918032;0.00966129860042778;0.0954578093447821;0.39361876846513;0.242971184894031;23.3;0.239999999999999;1577.7
"6";0;0.0686857269653597;0.280177981104472;0.0096846239095501;0.0956988377817464;0.393610669929813;0.244399113047027;23.4;0.239999999999998;1565.23
"7";0;0.068675656649145;0.279466827029699;0.00968221445827937;0.0956416987433337;0.393639008369297;0.244168218734705;23.9199999999987;0.25999999999999;1560.87
"8";0;0.0685126200708298;0.27902824489434;0.00953679350307864;0.0948650840033705;0.393272973709474;0.24278996385776;36.9699999999987;0.389999999999992;2403.44
"9";0;0.0685212566884263;0.278727407546235;0.00951969559228152;0.0945919355801901;0.393370765993481;0.241777915467965;38.2299999999986;0.38999999999999;2393.51
"10";0;0.0683619167463842;0.277418260463753;0.00949453644059554;0.0944021602232877;0.393358349969175;0.241883392136148;43.8299999999986;0.59999999999999;2612.52
"11";0;0.0685835698119551;0.279304816801557;0.0096109699529872;0.0947365812486144;0.393324236619487;0.242668194359332;44.1199999999988;0.59999999999999;2599.1
"12";0;0.0694237340600756;0.280819411000982;0.00977008526399353;0.0953384613546032;0.393315655654507;0.244057012699448;28.7499999999988;0.479999999999989;1492.12
"13";0;0.0695128750770651;0.281373915708895;0.00980266135205878;0.0955430465833367;0.39326939320992;0.244921656852664;26.5199999999987;0.369999999999989;1333.33
"14";0;0.0694460556584073;0.280981744991486;0.00979858365842076;0.0953672752278022;0.393256092665141;0.243757180151901;27.2399999999981;0.379999999999991;1330.71
"15";0;0.0700076457436448;0.282347340224081;0.00987699382366444;0.0956713935079175;0.39320052288195;0.244390739760793;27.5799999999983;0.399999999999987;1294.63000000002
"16";0;0.0697796589407177;0.281914663023547;0.00980301474388551;0.0952193955819122;0.392922302241945;0.243365690313287;27.7399999999983;0.439999999999982;1271.17
"17";0;0.0707120785252795;0.28671001519859;0.0099178332165533;0.0957810288739738;0.392279137952323;0.245538098436057;26.4499999999983;0.449999999999983;1175.1
