"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0661885215548106;0.269438463275894;0.0090198633154549;0.0942321655061594;0.393697902464069;0.239308649970837;36.1299999999999;0.340000000000004;2587.05000000001
"3";0;0.0674546917139435;0.275547346130236;0.00924881917412198;0.0938150575251316;0.393727207634215;0.236373918396929;23.6199999999999;0.190000000000001;1807.80000000002
"4";0;0.0674280331668965;0.276334351418823;0.00925473657680208;0.0937831332457482;0.393704975668713;0.236451240634374;23.72;0.16;1767.63000000001
"5";0;0.0676440383588863;0.275643861482173;0.00941217962027461;0.0935483193700935;0.393819688698365;0.238469539689751;23.0299999999997;0.16;1639.3
"6";0;0.0673168379332364;0.274360720099922;0.00932619887859711;0.0928238388436738;0.393316336489452;0.237423153774858;23.1299999999996;0.239999999999999;1618.84999999999
"7";0;0.0678731427383713;0.279214453555095;0.00945463469844344;0.0934438421521997;0.393277419968278;0.239436812793074;20.6699999999998;0.209999999999997;1374.12999999999
"8";0;0.0683250494553638;0.281275049763843;0.00955483744192684;0.0937244005504883;0.393054727655384;0.239990901133278;20.6200000000001;0.199999999999999;1269.89999999998
"9";0;0.068307219861799;0.280384052847741;0.00955439239034669;0.0936915732572788;0.393090336767506;0.239947445822294;21.1899999999989;0.229999999999983;1268.38999999999
"10";0;0.0690886460826761;0.282218523993226;0.00963971641761486;0.0942203563321961;0.393039459578663;0.241474473304704;20.5099999999988;0.249999999999982;1158.08999999999
"11";0;0.0691161875592871;0.281814244921042;0.0096077866121574;0.0939446946792251;0.392849941120998;0.240886347049319;20.4899999999986;0.289999999999985;1112.14
"12";0;0.0686166881633449;0.280714935242401;0.00933638918939025;0.0925776886376767;0.391868937143639;0.239899147999327;19.9799999999986;0.289999999999981;1019.97
"13";0;0.0685869965382555;0.283924963181627;0.0093081016049949;0.0923738205797771;0.391855857110496;0.239211371794876;20.0999999999985;0.349999999999984;1012.01000000001
"14";0;0.0683394489733872;0.282578922020436;0.00929582037495402;0.0922989779956748;0.392268499366549;0.239976920650806;20.4599999999987;0.359999999999982;987.250000000003
"15";0;0.068105060801327;0.281303027163271;0.00922243972436392;0.0920196872717167;0.392192920505297;0.239840800019842;20.7699999999984;0.41999999999998;979.600000000023
"16";0;0.0679889548180126;0.28066103414522;0.00919780002539882;0.0917862393626178;0.392230631743895;0.239085622990617;21.1299999999976;0.459999999999979;971.130000000027
"17";0;0.06807722244614;0.280947186286144;0.00919818677600689;0.0917853999503431;0.392290385611374;0.239074441518674;21.5799999999976;0.399999999999981;956.420000000035
"18";0;0.0680893809117156;0.280102054950783;0.00919269269527773;0.0917529456537645;0.392290385611374;0.238975138114623;22.1599999999978;0.399999999999963;954.890000000032
"19";0;0.0688036111475382;0.279798956161117;0.00933755372101124;0.0924358862100566;0.392322613647314;0.240337696630382;21.8799999999976;0.409999999999961;890.770000000023
"20";0;0.0683920025737518;0.278194879500366;0.00928932464271185;0.0921230985525314;0.392322613647314;0.239688167767883;21.8799999999974;0.439999999999962;846.730000000014
"21";0;0.0689363328245355;0.27965836702466;0.00940740079959944;0.0926158001288995;0.392391152541174;0.240579272715859;22.1199999999976;0.399999999999963;819.020000000008
"22";0;0.0689563446376452;0.279699672181572;0.00941665100966;0.0926581817804992;0.392364821207024;0.24073846955796;22.6399999999978;0.399999999999966;814.539999999998
