"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0667187450933461;0.270033981213322;0.0091421191569092;0.0954420623233157;0.392822003370358;0.242816152323473;43.23;0.410000000000001;3332.75
"3";0;0.0699772596548664;0.287339591372862;0.00978296328667428;0.0986799474419174;0.392709504435816;0.25124368918301;30.07;1.6;2301.26
"4";0;0.0699265563658189;0.287452346006865;0.00974825394344497;0.0985435864176398;0.392604658629429;0.251070294217977;30.8700000000007;1.64000000000002;2299.48
"5";0;0.0699820319066921;0.287688326115964;0.0097748941632398;0.0986721314634049;0.392569650631505;0.251410505819694;28.9500000000007;1.46000000000002;1956.86000000001
"6";0;0.0710685409225946;0.291111012052534;0.0101795166821563;0.100752322618401;0.392574160299876;0.257009262309638;25.0700000000007;0.730000000000019;1567.46
"7";0;0.0713341544530271;0.292756704861411;0.0101580446723269;0.100603476757459;0.392370918920534;0.257060289730536;24.8700000000007;0.740000000000017;1510.18000000001
"8";0;0.0725454574248563;0.296758287439083;0.0104035645492139;0.101727967465316;0.392317770049819;0.259849227719073;21.1500000000006;0.330000000000016;1259.74
"9";0;0.0724216686182442;0.296175197822365;0.0103874995144197;0.101584277236257;0.392321276195512;0.259521837027032;21.6700000000006;0.320000000000015;1250.17
"10";0;0.0730820825917137;0.298190067391288;0.0105625918754437;0.102435220644369;0.392337403114187;0.261801459981028;21.2600000000006;0.360000000000017;1159.19
"11";0;0.0728678442702505;0.296625752299641;0.0104754730691728;0.10195234928381;0.392330994917385;0.26056103281619;21.2900000000006;0.40000000000002;1126.23
"12";0;0.0730029856804471;0.298860461296666;0.0104283415712269;0.101704588145227;0.392340401829378;0.259903833042574;21.3900000000007;0.360000000000021;1080.76
"13";0;0.0728386308163012;0.298444266291967;0.010417732029505;0.101639744990132;0.392293394704973;0.259752893649081;21.7900000000007;0.320000000000018;1079.77
"14";0;0.0734123670301194;0.299973732051391;0.0104273760980267;0.101543026125918;0.391949846540798;0.259942436682649;21.2800000000007;0.370000000000019;986.120000000004
"15";0;0.0731202922527117;0.299226994562686;0.0103411663540439;0.101048029123463;0.391560658596049;0.258901544552553;21.8100000000004;0.390000000000022;986.270000000002
"16";0;0.0729568194709251;0.298851071873767;0.0103314881138118;0.100949104479757;0.391561665383095;0.258574783405707;22.2100000000014;0.410000000000014;980.680000000002
