"Group";"N";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"6351960_6353617_6354706_6355390_6355405_6357841_6358872_6369773_6373577_6373793_6384426_6391856_6394348_6396185_6396198_6396344_6397734_6398496_6400127_6402214_6406085_6412073_6429112_6429753_6429769_6430564_6430577_6431079_6431126_6431127_6431268_6431273_6431327_6431414_6431415_6431427_6431524_6432724_6432725_6434298_6434299_6436099_6436100_6436974_6438510_6438908_6439676_6439812_6439813_6439814_6440330_6440364_6440894_6441166_6441173_6441356_6441467_6441469_6441899_6441924_6443006_6443818_6443831_6444403_6444534_6445155_6447936_6449098_6449099_6449806_6451307_6451505_6451703_6452755_6453070_6453255_6453259_6453523_6456676_6456677_6456678_6456681_6456682_6457709_6459510_6461478_6462152_6462640_6466823_6466825_6467039_6470504_6472805_6473003_6477901_6478559_6481231_6483443_6484593_6491890_6496354_6501672_6502323_6502668_6505874_6506990_6507780_6507785_6515860_6515865_6523676_6524125_6528098_6530198_6533395_6536623_6543897_6544813_6547404_6548037_6548038_6551656_6552773_6558924_6559630_6560222_6560231_6564834_6566575_6587228_6587395_6595270_6596867_6598500_6598925_6598940_6605391_6605396_6606317_6606724_6611136_6617012_6617017_6617582_6617583_6619762_6620670_6620685_6626209_6630537_6635588_6635590_6636324_6636326_6647357";155;0;0.0701060308647088;0.288598231705909;0.0105712826584411;0.102816743084194;0.392843892939981;0.261724173219876;6.99;0.32;406.879999999999
"6351960_6355390_6358872_6373577_6373793_6384426_6396198_6397734_6398496_6400127_6412073_6429112_6429769_6430577_6431079_6431126_6431127_6431268_6431327_6431415_6431427_6431524_6434298_6434299_6436974_6438510_6440364_6441166_6441173_6441467_6441469_6441899_6441924_6443831_6444534_6445155_6449098_6449806_6451307_6451505_6451703_6453070_6456676_6456677_6456678_6456681_6456682_6457709_6459510_6462152_6462640_6467039_6472805_6483443_6491890_6496354_6501672_6505874_6507780_6507785_6515860_6524125_6528098_6533395_6536623_6543897_6544813_6547404_6548037_6548038_6552773_6558924_6559630_6560222_6560231_6564834_6587228_6598925_6598940_6605391_6605396_6617017_6617582_6619762_6620685_6626209_6630537_6635588_6635590_6636324_6636326_6647357";92;0;0.0722006418854622;0.317760803335419;0.0108348954629729;0.104090803930861;0.392274431082816;0.265351997690834;3.48000000000002;0.140000000000001;142.480000000001
"6351960_6358872_6373577_6373793_6384426_6397734_6398496_6429112_6429769_6430577_6431327_6431415_6431524_6434298_6434299_6441173_6441899_6441924_6451307_6451703_6456681_6467039_6483443_6491890_6496354_6501672_6524125_6533395_6536623_6552773_6559630_6560222_6560231_6564834_6587228_6598940_6605391_6605396_6617017_6617582_6619762_6620685_6630537_6635588_6635590_6636324_6636326";47;0;0.0810191237558205;0.345882301539065;0.0131513275384144;0.114679237608271;0.424582053679237;0.270099116565368;1.66;0.0400000000000009;40.6900000000005
"6351960_6358872_6373577_6373793_6384426_6397734_6398496_6429112_6430577_6431327_6431415_6434299_6441173_6441899_6441924_6451307_6451703_6456681_6467039_6483443_6491890_6496354_6501672_6524125_6536623_6552773_6559630_6560222_6587228_6598940_6605391_6605396_6617582_6619762_6620685_6635588_6635590_6636324_6636326";39;0;0.0799600303800753;0.281846442404016;0.012834301420784;0.113288575861752;0.443427148615427;0.255484077182665;1.45000000000005;0.0400000000000009;29.1099999999969
"6351960_6358872_6373577_6373793_6429112_6441924_6483443_6491890_6496354_6536623_6560222_6587228_6598940_6619762_6620685_6635588_6636324_6636326";18;0;0.0801276371994369;0.264290001971355;0.0134870008859663;0.116133547633603;0.455110703094193;0.255176480895829;1.23999999999995;0.00999999999999979;7.63000000000102
"6353617_6354706_6355405_6357841_6369773_6391856_6394348_6396185_6396344_6402214_6406085_6429753_6430564_6431273_6431414_6432724_6432725_6436099_6436100_6438908_6439676_6439812_6439813_6439814_6440330_6440894_6441356_6443006_6443818_6444403_6447936_6449099_6452755_6453255_6453259_6453523_6461478_6466823_6466825_6470504_6473003_6477901_6478559_6481231_6484593_6502323_6502668_6506990_6515865_6523676_6530198_6551656_6566575_6587395_6595270_6596867_6598500_6606317_6606724_6611136_6617012_6617583_6620670";63;0;0.0732682987220397;0.272058557471333;0.011187541594879;0.105771175633435;0.393693847511636;0.268663521926918;1.70000000000002;0.16;60.6100000000006
"6353617_6354706_6357841_6369773_6391856_6394348_6396185_6396344_6402214_6406085_6430564_6431273_6431414_6432724_6432725_6438908_6439676_6439813_6439814_6440330_6440894_6441356_6443818_6444403_6449099_6452755_6453259_6453523_6461478_6466823_6466825_6470504_6473003_6477901_6478559_6484593_6502323_6502668_6506990_6515865_6523676_6530198_6551656_6566575_6587395_6595270_6596867_6598500_6611136_6617012_6617583_6620670";52;0;0.074690137092337;0.269409715490871;0.0114453327976394;0.106982862167917;0.408023013033039;0.262198108319086;1.33000000000001;0.0300000000000011;45.3600000000006
"6353617_6354706_6357841_6369773_6391856_6394348_6396185_6396344_6402214_6406085_6431273_6431414_6432724_6439676_6439813_6439814_6440894_6441356_6443818_6444403_6453259_6453523_6466823_6466825_6470504_6473003_6484593_6523676_6530198_6551656_6587395_6595270_6596867_6611136_6617012_6617583_6620670";37;0;0.074510829912513;0.278542207318383;0.0108575228513287;0.104199437864744;0.406094784018194;0.256588958946283;1.11000000000001;0;24.25
"6353617_6369773_6396344_6402214_6432724_6439814_6466823_6473003_6523676_6530198_6595270_6596867_6611136_6617012";14;0;0.0832207956268518;0.258520770714768;0.012071170579985;0.109868879033077;0.434498675858681;0.252863553187931;0.919999999999987;0.0300000000000011;4.09000000000015
"6353617_6369773_6396344_6402214_6432724_6439814_6466823_6473003_6595270_6596867_6617012";11;0;0.0908638947602099;0.290447378705012;0.0139688755414115;0.118189997636905;0.4345717785885;0.271968874787012;0.870000000000005;0.0400000000000009;2.63999999999942
"6353617_6369773_6439814_6473003_6617012";5;0;0.0833853375252358;0.211291456391392;0.0115972456754286;0.107690508752762;0.497695584521737;0.216378268367093;0.859999999999957;0.00999999999999979;1.55000000000291
"6353617_6439814_6473003";3;0;0.0948126808716468;0.256024754230179;0.015886894942963;0.126043226485849;0.535470229595975;0.235387925451899;0.769999999999982;0.0199999999999996;1.40999999999985
"6354706_6357841_6391856_6394348_6396185_6406085_6431273_6431414_6439676_6439813_6440894_6441356_6443818_6444403_6453259_6453523_6466825_6470504_6484593_6551656_6587395_6617583_6620670";23;0;0.0711692414716272;0.302627943998931;0.0102612863880086;0.101298007818558;0.389073725237377;0.260356845625479;1.01999999999998;0.0299999999999994;10.4099999999999
"6354706_6394348_6620670";3;0;0.043486498965789;0.114156428383468;0.00258404901109255;0.0508335421851807;0.388639455179349;0.130798717185629;0.639999999999986;0.0700000000000003;1.18000000000029
"6355390_6396198_6400127_6412073_6431079_6431126_6431127_6431268_6431427_6436974_6438510_6440364_6441166_6441467_6441469_6443831_6444534_6445155_6449098_6449806_6451505_6453070_6456676_6456677_6456678_6456682_6457709_6459510_6462152_6462640_6472805_6505874_6507780_6507785_6515860_6528098_6543897_6544813_6547404_6548037_6548038_6558924_6598925_6626209_6647357";45;0;0.0680662824045979;0.326165183958283;0.00932565219645094;0.0965694164653123;0.357598392544176;0.270049917669533;1.10999999999999;0.0400000000000009;34.0699999999997
"6355390_6431427_6440364_6441166_6441467_6441469_6443831_6445155_6449098_6449806_6456676_6462152_6462640_6472805_6507780_6528098_6544813_6547404_6548037_6548038_6558924_6598925";22;0;0.0626428115991207;0.401864279957846;0.00777677093169405;0.0881860019033296;0.336278200416195;0.262241209195797;1.01999999999998;0.0300000000000011;10.75
"6355390_6431427_6440364_6441166_6441467_6443831_6445155_6449098_6449806_6456676_6462152_6472805_6507780_6528098_6544813_6548037_6548038_6558924_6598925";19;0;0.0594061757268503;0.424336429065825;0.00718490190805584;0.0847638006937858;0.315863807295422;0.268355534049862;0.75;0.0299999999999994;7.94999999999709
"6355390_6440364_6441467_6443831_6445155_6462152_6507780_6548038_6558924";9;0;0.060266715560485;0.456287289338359;0.00639636759367378;0.0799772942382635;0.291517898761121;0.274347800180185;0.859999999999957;0.0500000000000007;3.20999999999913
"6355405_6429753_6436099_6436100_6439812_6443006_6447936_6453255_6481231_6606317_6606724";11;0;0.0785424662332286;0.399488346264455;0.0145284145840362;0.120533873181095;0.327801396970032;0.367703964337022;0.75;0.00999999999999979;3.68999999999869
"6355405_6429753_6439812_6447936_6453255";5;0;0.0925401058337488;0.528155254091602;0.0174209964089479;0.131988622270815;0.332669508935263;0.39675599574261;0.689999999999998;0.0300000000000011;1.38999999999942
"6357841_6391856_6396185_6406085_6431273_6431414_6439676_6439813_6440894_6441356_6443818_6444403_6453259_6453523_6466825_6470504_6484593_6551656_6587395_6617583";20;0;0.0758261926900166;0.326918812771917;0.0113698525396177;0.106629510641368;0.389124602064259;0.27402407885729;1.05000000000001;0.0299999999999994;8.61999999999898
"6357841_6391856_6396185_6406085_6431273_6431414_6439676_6439813_6440894_6441356_6443818_6444403_6453259_6453523_6466825_6470504_6551656_6587395_6617583";19;0;0.0752897674233902;0.326536240181627;0.0111580616841014;0.105631726692795;0.395220043512787;0.26727320242648;0.810000000000002;0.0199999999999996;7.43000000000029
"6357841_6406085_6431414_6440894_6441356_6443818_6453259_6466825_6470504_6551656_6587395_6617583";12;0;0.0747912890556869;0.344733936007609;0.0117548338455512;0.108419711517561;0.384738943603152;0.281800720515034;1.15999999999997;0.0199999999999996;3.60000000000218
"6369773_6617012";2;0;0.0656321975489767;0.141763102517973;0.00771249091844275;0.0878207886462126;0.441033616910378;0.199124931249988;0.710000000000036;0.0300000000000011;1.13000000000102
"6384426_6397734_6398496_6430577_6431327_6431415_6434299_6441173_6441899_6451307_6451703_6456681_6467039_6501672_6524125_6552773_6559630_6605391_6605396_6617582_6635590";21;0;0.0826648064589233;0.303997340046356;0.0131069492334895;0.114485585265087;0.433380200989717;0.264168932968406;0.990000000000009;0.0399999999999991;10.5999999999985
"6384426_6431327_6451703_6552773_6559630_6635590";6;0;0.0709171811867672;0.162402939236584;0.00759730958938602;0.087162546941826;0.461300528604833;0.188949592590848;0.71999999999997;0;1.61999999999898
"6391856_6396185_6431273_6439676_6439813_6444403_6453523";7;0;0.0822990464680084;0.307134285607182;0.0124054931221906;0.111379949372365;0.413062868358952;0.269644061241486;0.859999999999957;0.0100000000000016;2.55000000000291
"6396198";1;0;0.0991235643650128;0.379029807149414;0.0295640540619596;0.171942007845551;0.250133997450272;0.687399592211507;1;0.0500000000000007;1.61999999999898
"6396198_6400127_6412073_6431079_6431126_6431127_6431268_6436974_6438510_6444534_6451505_6453070_6456677_6456678_6456682_6457709_6459510_6505874_6507785_6515860_6543897_6626209_6647357";23;0;0.0745598189312929;0.247049916649518;0.0109976475636333;0.104869669417012;0.379241617886218;0.276524686297681;1.00999999999999;0.0299999999999994;9.81000000000131
"6396198_6412073_6431126_6431127_6431268_6436974_6438510_6444534_6451505_6456677_6456678_6456682_6459510_6515860_6626209_6647357";16;0;0.0793291846743478;0.275305376491901;0.0124521722687371;0.111589301766509;0.361616318312138;0.308584806922868;1.19;0.0199999999999996;6.02000000000044
