"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0707107768247257;0.290733700959052;0.0106741366524186;0.103311259737957;0.263166343403288;215.931464968151
3;0;0.0724447405050972;0.291369340572531;0.0108282048021659;0.103755777914704;0.267542904744697;62.5728662420326
4;0;0.0725319326282895;0.293314219941607;0.0108050510432132;0.103492342030504;0.267528120656556;50.4064968152866
5;0;0.073381314075272;0.294822910537613;0.011024163416384;0.10442991851748;0.269265988597347;40.6245859872558
6;0;0.0731748020345918;0.292454864167569;0.0109015962187358;0.103536871481872;0.268948995218768;37.0146496815295
7;0;0.0728534662658417;0.292294206578069;0.0109055481373983;0.103525178904673;0.269117648656411;37.0088535031856
8;0;0.0733103657823903;0.288751331697659;0.0109087942128216;0.103527292485937;0.272951583848244;25.5324203821646
9;0;0.0731898379906928;0.287816191541884;0.0108928734908596;0.103369832793318;0.272276736349036;25.4564968152861
10;0;0.0732777786743696;0.289635796201932;0.0108185619822983;0.102924065645019;0.271022627918389;17.9719745222921
11;0;0.0733678122389854;0.289690407377501;0.0107827118541789;0.102701651295594;0.270955043419874;17.915031847134
12;0;0.0734126002845953;0.292215304179432;0.0108562013364546;0.103023779488674;0.274393290317334;15.899108280255
13;0;0.0748493540295072;0.296506880960024;0.0111477365845732;0.104287700011035;0.276978617018647;7.39732484076215
14;0;0.0747280032060615;0.295852704604618;0.0110627472649386;0.103895571408036;0.27654968944859;6.65777070063614
15;0;0.0744665722617156;0.297265783253882;0.0110154398456586;0.103520801261209;0.275091333143609;6.30222929936221
16;0;0.0745968095453592;0.29625862969614;0.011002057309618;0.103453639071651;0.274932991085455;5.12770700637009
17;0;0.0739515352320334;0.291930663530582;0.0106858370912363;0.102289173095367;0.272852098123259;5.1222929936313
18;0;0.0736905978388755;0.291640848694319;0.0106047681352442;0.101951309998141;0.272858330918045;5.0098089171976
19;0;0.0736488859757981;0.290785851788349;0.0105590223279299;0.101697020202563;0.272713043458812;4.93745222929941
20;0;0.0734024113445711;0.290328663969482;0.0105430533914921;0.101289784953655;0.271021256724207;4.91707006369406
21;0;0.0735348697928644;0.289754755593128;0.0105002213678183;0.101027924438232;0.270404792870014;4.16420382165762
