"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0708502697203555;0.291777628725846;0.0106591016543491;0.103201758499301;0.262756548063242;179.903503184723
3;0;0.071667261275358;0.294959937812252;0.010847251617335;0.104064272845629;0.265809303814768;122.797070063694
4;0;0.0734390534931233;0.298624936801449;0.0111447758133294;0.105177140766694;0.271204276530177;42.7869426751583
5;0;0.0735485125877873;0.298322913463148;0.0111165731362428;0.104895886419281;0.270452054310606;30.7947770700656
6;0;0.0720769129762154;0.290026864666228;0.0105489624325016;0.102375577667973;0.274078364523374;23.4873885350348
7;0;0.071963958649397;0.291614485398113;0.0104821150094728;0.102005690438334;0.27316355043974;20.7489808917234
8;0;0.0731552066417314;0.293877075199962;0.0106353608880876;0.102715053060697;0.274771209005637;14.3517834394916
9;0;0.0731352546154153;0.2938444595904;0.0106323950065273;0.102594972917776;0.274174289911483;8.34388535031971
10;0;0.0735504225095099;0.294830070678144;0.0106864001550464;0.102791707168938;0.274665998301101;8.01917197452216
11;0;0.0737029744514174;0.293953940643677;0.0107000777548907;0.102746157569901;0.274278550285624;7.6301910828033
12;0;0.0746441187582614;0.294845544675292;0.0108679986768493;0.103287838314467;0.275221197151979;6.51783439490754
13;0;0.0747970693667712;0.294690015352576;0.0109081772457744;0.103455809387564;0.275677437911578;6.08184713376069
14;0;0.0736190062997726;0.290963391182303;0.010494345852028;0.101579862662686;0.269443323727741;6.02891719745432
15;0;0.0732047361168769;0.289355050639184;0.0103569797537005;0.100771067161897;0.267419081450797;5.68968152866427
16;0;0.0733019151679221;0.289721148130197;0.0103687801515281;0.100841427642841;0.267860120418122;5.63146496815546
17;0;0.073549866346949;0.290080700183856;0.0104025484886349;0.100808417594207;0.267643974025181;3.84859872611759
18;0;0.0731209912634489;0.288445296850878;0.0102976552061751;0.100402298298989;0.26739000882953;3.79815286624443
19;0;0.0728686597602269;0.288054435258293;0.01026161891232;0.100205205919572;0.266649302328228;3.68235668790109
20;0;0.072869671891383;0.287661787831262;0.0102406876141075;0.100013315417689;0.266159307645065;3.57592356688157
21;0;0.0727034515535542;0.287224501175697;0.0101723942059627;0.0994270274726549;0.264808740157481;3.41796178344252
22;0;0.0726819258926853;0.28713582929448;0.0101926517166715;0.0995105869606209;0.265603695335266;3.40859872611776
23;0;0.0726578310813719;0.2865171515422;0.0101913248033492;0.0994858991395428;0.265943010043441;3.38878980892022
24;0;0.0725247409873978;0.286440774626417;0.0102092833057562;0.0995755650615193;0.266993948975794;3.33070063694572
25;0;0.0728558031336886;0.287254088929909;0.0102358864367295;0.099685623375199;0.267279640295352;3.16904458598935
26;0;0.0726727737481578;0.285374061672718;0.0102176962996413;0.0994959121710209;0.266404248956044;3.15248407643517
27;0;0.0725629308575814;0.284789430948259;0.010181011878987;0.0992279400736044;0.265623891606532;3.01732484076656
