"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0718709252529788;0.292988159747218;0.010889757770386;0.103181110656657;0.263108287472311;97.4414649681534
3;0;0.0725529573825019;0.298291455029624;0.0111538777128638;0.104010894749373;0.271957117128773;67.2590445859883
4;0;0.0731801969874119;0.299194381574186;0.0112625819125391;0.104613026223908;0.273487219998931;61.5346496815295
5;0;0.0723593541989195;0.297681184671045;0.0110339949883851;0.10334087120974;0.270683402377984;51.8522929936299
6;0;0.0722236440223066;0.297661932327723;0.010946983267147;0.102954884087689;0.27098492270846;48.8582165605099
7;0;0.0716879541731394;0.294666451967056;0.0108416979034151;0.102578485114139;0.269688962907451;48.8541401273889
8;0;0.0717148786319362;0.294850686816808;0.0108385769739368;0.102429705887569;0.269220723605663;48.8422292993634
9;0;0.0715648726076352;0.294444356904374;0.0108291381691843;0.102362094631299;0.269055891782133;48.3964968152855
10;0;0.0718145355855734;0.294691486102064;0.0108582846172965;0.10242420091474;0.269158792637111;43.4232484076429
11;0;0.0716968925524724;0.295362787999715;0.0108405489116895;0.102306012110476;0.268702895688129;43.4184713375791
12;0;0.0718452972817645;0.295309264075174;0.010835718407141;0.102267656773876;0.268611544751527;43.4165605095536
13;0;0.0727227138170242;0.296715510659884;0.0110048088503139;0.102936883257457;0.270331311580982;34.2057961783442
14;0;0.0725377300110254;0.295844902637929;0.0109699307491878;0.102654721972212;0.269000247508173;34.1979617834397
15;0;0.0732963684253359;0.299530917324467;0.010933242418176;0.102435343575422;0.268978777579573;26.6924203821651
16;0;0.0733720541661722;0.299669707208473;0.010983169763303;0.102681500889018;0.269515591045448;26.6351592356683
17;0;0.0732944343390207;0.299433282242772;0.0109732738977611;0.102587471409591;0.269272999113423;26.6347133757957
18;0;0.0733468136430888;0.297327692150155;0.0109635255953291;0.102466161731077;0.269166167349127;26.5481528662417
19;0;0.0732155130949735;0.297121710162464;0.0109113421555219;0.102175574293654;0.268117098460422;26.5475159235665
20;0;0.0732867821163189;0.297338318942943;0.0109098675263232;0.102164266906438;0.268113427913475;25.8389808917201
21;0;0.0740673803107396;0.299624729802822;0.010921398726554;0.102210750561896;0.269598551334957;17.0766242038218
22;0;0.074146173243109;0.300624661929799;0.0109364016192037;0.102286206196428;0.269862675575972;17.0700636942676
23;0;0.0741896717830429;0.301275815833384;0.0109879309837654;0.102430422086014;0.270061876407239;17.0477707006371
24;0;0.074127718604113;0.30109861177134;0.0109880610718178;0.10241229135754;0.270023921864928;17.0331847133759
25;0;0.0743722446372211;0.300358681402538;0.0110293405332241;0.102628199635027;0.270492171266605;9.27426751592303
26;0;0.0743086171348602;0.300551176990818;0.0110318120780961;0.102641297918617;0.27055692033081;9.26203821656003
27;0;0.0740414292219836;0.29670754033781;0.0109521290554529;0.102362233073213;0.270112484338538;9.10509554140089
28;0;0.0745030150287412;0.297238773585942;0.0109876904691384;0.102449685154314;0.270319955668008;6.1377707006369
29;0;0.0744811802776823;0.297150032937493;0.0109785596260409;0.102274088257145;0.269461027541517;6.13350318471335
30;0;0.0745678607058373;0.297222374605636;0.0110053387263215;0.1023584504771;0.269711982477016;6.12560509554136
31;0;0.0742940018070491;0.295704323218365;0.010959358955545;0.10195468559093;0.267037176740154;6.12420382165601
32;0;0.0740476943197337;0.29524844561816;0.0109181997940306;0.101714987842229;0.266497343552715;6.12535031847125
33;0;0.0743303616631692;0.29517950545264;0.0109326109483215;0.101758491639235;0.266560041718215;6.1268152866242
34;0;0.0740164679349059;0.294615741288134;0.0109114785053774;0.101451143198116;0.265790879237852;6.12898089171977
35;0;0.0736033075145459;0.29244702896767;0.0108517512961252;0.101000706534714;0.264858956269862;6.13050955414018
36;0;0.0740920741767513;0.294088542136006;0.0109530777146753;0.101493537963531;0.265877652112802;4.74070063694315
37;0;0.0741440550583053;0.294726137412803;0.0109582828026011;0.101455469806179;0.265676235316528;4.74273885350366
38;0;0.0739620740992669;0.289801765432528;0.0108520649716316;0.100863104137018;0.265234699503734;4.58273885350369
39;0;0.0737311377894298;0.288208671156347;0.0108510907655319;0.100763662879208;0.264965849532068;4.55808917197496
40;0;0.0743764292626165;0.290100612031018;0.0109323421726583;0.101091111225863;0.26573204585415;3.4593630573249
41;0;0.0742112505753744;0.289510223665535;0.0109346084367701;0.101090780700059;0.265781260992979;2.94382165605103
42;0;0.0740070393991165;0.288772646102297;0.0108549284312119;0.10067138151618;0.265039400981065;2.94585987261158
