"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.068938034381879;0.282420178077518;0.0102291056093686;0.100613468058368;0.256483503527469;340.085987261147
3;0;0.0692401695947162;0.284026522240948;0.0101293698251539;0.0975457885688194;0.245481447238674;100.217643312102
4;0;0.0680471450053714;0.273895577700591;0.00962833577288924;0.0954615839664147;0.248603987354153;89.1385987261143
5;0;0.0675124090104877;0.272311886118863;0.00940620576346907;0.0941939329980586;0.246481380370416;87.8236942675157
6;0;0.0644835139173321;0.267335595396503;0.00869624403945874;0.0895440925565814;0.238640059107937;30.7622292993628
7;0;0.063185910150152;0.26575702434351;0.00843351557753014;0.0883913338497022;0.237342984067705;27.3407006369421
8;0;0.0625109183339332;0.263507897643645;0.00817605813509624;0.0870659610046457;0.232953699535961;27.0707643312098
9;0;0.0619823833006876;0.26003629957652;0.00810536821601835;0.0865252073225786;0.231555381965777;23.9612101910821
10;0;0.0619154785709797;0.258501824426843;0.00808627095085736;0.0863593133568653;0.231576636937897;23.9318471337573
11;0;0.0614447614045387;0.258159762317793;0.00800967294948114;0.085828289172534;0.23062192529253;17.654331210191
12;0;0.0611305342627163;0.256628779194319;0.00795871606977024;0.0855471351043608;0.229767005100312;17.6424840764329
13;0;0.0610760965838239;0.256527203762051;0.00795916325630466;0.0854003338517586;0.229365343742401;17.0624203821656
14;0;0.0606157801605981;0.255289849732271;0.00775930698838613;0.0848176561574292;0.228194281745448;17.0594267515924
15;0;0.0601908386608902;0.253232559916284;0.00771064829217561;0.0844006967287212;0.227036841063603;16.4814012738853
16;0;0.0604052174328393;0.2548092380724;0.00776195482971296;0.0846395713146432;0.227566852261353;7.03337579617822
17;0;0.0601735691647393;0.252588417007948;0.00774073524768018;0.084352510981698;0.226179407136766;6.32299363057313
18;0;0.060327237305804;0.252883171199556;0.00778588973470392;0.0844704745481764;0.226498656271575;6.3212738853502
19;0;0.0608987814500921;0.260437162784495;0.00791586957632998;0.0851997818245989;0.229195344501184;6.0421656050954
20;0;0.0611702212367748;0.260378142761879;0.00794388528889248;0.0848993729004248;0.228321178404978;3.77445859872605
21;0;0.0613012288411042;0.260586343789468;0.00798372065578165;0.0850676068250369;0.228598602844051;3.51108280254792
22;0;0.061042694726183;0.258440718709061;0.00790530129684576;0.0846678218259443;0.227690412110467;3.37636942675173
23;0;0.0611676967999771;0.258661159865063;0.0079264146199743;0.0847871592740182;0.228009409048992;3.35802547770714
24;0;0.0610149838770823;0.258115882982823;0.00788826768928539;0.0845808110707516;0.227643969584516;3.30286624203833
25;0;0.0608356511775144;0.256595320660994;0.0078648925923581;0.0843489283134926;0.226924740835536;3.26254777070088
