"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0670927715925117;0.273042038293477;0.00936282383133947;0.0962091642858405;0.250990823021387;105.163439490445
3;0;0.0656348897756502;0.261080791492746;0.0090465514825798;0.0942658668008832;0.251772123460559;88.5985350318465
4;0;0.0637613021616857;0.259397035536685;0.00847656849307479;0.0909709922414423;0.245888130170875;34.4199363057321
5;0;0.062320521209334;0.256318672579624;0.00823337068512186;0.0892435714430972;0.241694831114294;28.1357961783436
6;0;0.0625831398162985;0.256074864845306;0.00833223693150283;0.08976156355159;0.24324604134437;14.3674522292989
7;0;0.062225081964403;0.254972087209118;0.00827975155367035;0.0892730844358318;0.240469339997205;13.9901910828021
8;0;0.0622171590375599;0.255446723959153;0.00829292434651526;0.0892773892201984;0.240329324727646;13.136050955414
9;0;0.0622535027716457;0.255377305335287;0.00827698391607229;0.0891755642528325;0.240650403547654;12.9919108280253
10;0;0.0619570710128843;0.253272995822369;0.00815506974821956;0.0884248141488322;0.239158774699592;9.73522292993625
11;0;0.0620828362203928;0.253099960001721;0.008217913825066;0.0886898893703407;0.239843096971647;7.15885350318488
12;0;0.0619559464631916;0.253306412994094;0.00815430849722248;0.0876902457862149;0.236968977246302;6.28292993630611
13;0;0.0617792731488381;0.252224123085671;0.00809600057837411;0.0870828270956451;0.235998066625133;6.01891719745244
14;0;0.0615478663642892;0.250899214930835;0.00807668386639817;0.0869284120785255;0.235494818822652;5.51407643312103
15;0;0.0611913551962825;0.250536831008061;0.00796357430928131;0.0863376783063427;0.234268086579908;5.39560509554168
16;0;0.0611604539513916;0.250512294679729;0.00796604686318289;0.0862727801671442;0.234054375748051;4.95649681528698
17;0;0.0612787670239904;0.250574751429498;0.00791934517361155;0.0859331296654128;0.233202066138339;3.69955414012742
18;0;0.0612970953439608;0.252054940114263;0.00791768542108219;0.0858066765333706;0.232690328142587;3.67764331210205
19;0;0.0615908828607334;0.256370005232123;0.00797401845610814;0.0858492258335081;0.233350403614805;3.61885350318483
20;0;0.0615122735619135;0.255783805408583;0.00795999281824642;0.0857339398225547;0.233058523864953;3.47095541401308
21;0;0.0612322212552428;0.253746609246862;0.00788005150253396;0.0851998229868128;0.231026926685487;3.2064968152868
22;0;0.0611611182774441;0.253167144643273;0.00788079934908503;0.0852061424165076;0.231131957155515;3.18745222929953
23;0;0.0612327007955212;0.253468472553222;0.00790651015464381;0.0853689669851709;0.231529462194217;3.06267515923592
24;0;0.061494998087707;0.253911788801663;0.00792544074452374;0.0853924474922597;0.231612021405245;3.01528662420401
25;0;0.061440485252732;0.253910503833399;0.00791920575547324;0.0851831771454066;0.230620315186694;2.99280254777092
26;0;0.0613073985835183;0.2534805583373;0.00785805506887917;0.0849113467925533;0.230273194671451;2.99089171974543
27;0;0.0612202139022803;0.252835526540863;0.00784732303137738;0.0847322764478367;0.228646116688296;2.99089171974543
28;0;0.0612190934739181;0.252634632046881;0.00784342471474693;0.0847031107243806;0.228555148626655;2.84554140127405
29;0;0.0611462285204472;0.252400664062798;0.00782001070029777;0.0845567046912795;0.228198555515043;2.72840764331238
30;0;0.060657438857679;0.251795722192116;0.00775697045298201;0.0842772848095608;0.227764986239672;2.20777070063703
31;0;0.06063625540721;0.251695387873178;0.00775568485814023;0.0842705152776724;0.227744537547143;2.20777070063703
32;0;0.0605181562582463;0.250537324982007;0.00773506809088628;0.0841066552305238;0.22725410077569;2.21254777070066
33;0;0.0605203953267175;0.250593713042363;0.00775274065506659;0.0841821979429871;0.227393974253058;2.17242038216561
34;0;0.060433081001857;0.250642209354483;0.00776471169895163;0.0840136310196925;0.227267272706255;2.17541401273886
35;0;0.0602830570026996;0.250155619198438;0.00775199603892496;0.0837010245970826;0.22582655646079;2.16458598726116
36;0;0.060585321544897;0.251031030160457;0.00779205000037094;0.0839307165538196;0.226370946627936;2.10509554140125
37;0;0.0607506619042489;0.251157077182746;0.00780280254992376;0.083954716115724;0.226429371031038;1.98624203821657
38;0;0.0606988981667837;0.250629401996877;0.00781019515640654;0.083979969141858;0.226536450179105;1.96127388535035
39;0;0.060741360248671;0.252519608603845;0.00783076386882382;0.0839286562195026;0.2261948702038;1.95624203821651
40;0;0.0609003100238628;0.252958449994049;0.00787370925324118;0.0841553458085767;0.226702317890594;1.95547770700632
41;0;0.0609790301532596;0.252888721183914;0.0078769059587477;0.0841688073290473;0.226734077176962;1.92866242038214
42;0;0.0608005026087881;0.25272738647757;0.0078506214204695;0.083934250797284;0.226176393998102;1.91656050955406
43;0;0.0607721669232045;0.25264896270562;0.00783620193864549;0.0838384577953673;0.225957109566374;1.81757961783436
