"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0649391564219981;0.265298616408123;0.0088007816094254;0.0928157940355875;0.24630177139113;139.891719745223
3;0;0.0634988369241429;0.262610393051605;0.00834579706745799;0.0903369267246276;0.242714376886726;56.7870700636944
4;0;0.0635659734893568;0.26353694241269;0.00843619185643721;0.0898812178709731;0.240909779244113;48.0723566878979
5;0;0.0630113856181887;0.261874404433368;0.0083692454534215;0.0891619935587599;0.238458197132492;41.2357961783438
6;0;0.0627875061535402;0.261609263569471;0.00827551285196126;0.0886163894450275;0.237568210813861;22.2311464968152
7;0;0.0624499505794157;0.261034046972303;0.00822418560352273;0.088073086043123;0.236126526139597;16.7573885350317
8;0;0.0623412957780828;0.260684995491307;0.00819347362361277;0.0878882296642834;0.235861366094914;16.4526751592354
9;0;0.0616075258277838;0.259501819032368;0.00806743678895974;0.087218362498487;0.234681842734893;13.8542675159233
10;0;0.0614208360838433;0.259204006242429;0.00803801930945896;0.0861660545195542;0.232057726623375;12.9074522292993
11;0;0.0621363911910719;0.260287052180443;0.00813131370670319;0.0865977748434504;0.232821782733459;12.1777070063694
12;0;0.0622505157457509;0.261200615617501;0.00815405993009907;0.0866726979015255;0.23398944705788;12.1136305732484
13;0;0.0621190209172175;0.259566358870988;0.00817106366048333;0.0867805008285732;0.234200033962782;8.83388535031823
14;0;0.0622680545900189;0.259646035237349;0.00819908679040841;0.0867704281881589;0.234288270935324;8.46777070063672
15;0;0.0622271456701763;0.259276920468502;0.00817791723981986;0.0865927487796837;0.2340325772747;8.45515923566857
16;0;0.0624128162257037;0.258904160997216;0.00816299063642163;0.0864412908692721;0.233859014615289;5.45757961783424
17;0;0.0634516685475629;0.263658967803995;0.00832331230144632;0.0873515188325982;0.237238773362205;4.72318471337565
18;0;0.0631073515459824;0.263011417845528;0.00817207374290109;0.086902612504212;0.236279243445616;4.7214012738852
19;0;0.0631223652495458;0.26314354486707;0.00817937854870729;0.0869248954805951;0.236428915210112;4.71649681528648
20;0;0.0626505121770062;0.261398065161422;0.00812453078655469;0.0864098212112408;0.234571321651672;4.19598726114631
21;0;0.0626739730522305;0.261436352143694;0.00812269641464051;0.0862629968887267;0.234146834925473;2.81866242038197
22;0;0.0627638350609031;0.261200626499404;0.00810809585996448;0.0861853341071938;0.233995726628057;2.67828025477687
23;0;0.0625098850605481;0.26050191066285;0.00801950759395317;0.085934581800875;0.233470476911239;2.67764331210171
24;0;0.0627921607611375;0.261101266722464;0.00804081865339942;0.0859557101218578;0.233667938249795;2.54095541401257
25;0;0.0631605019824836;0.262200517743738;0.00810035312422534;0.0863203296998427;0.234588397928693;2.35114649681507
26;0;0.0629302176588566;0.260964845659755;0.0080875449950219;0.0861222528301817;0.233916465100126;2.2091082802546
27;0;0.0628423263777635;0.26101643888261;0.00814079281125206;0.0863156443098031;0.234231292639051;2.1880891719744
28;0;0.0629495008900245;0.261948315788378;0.00816868860549582;0.0864501322938151;0.234544163541316;2.11630573248396
29;0;0.0631394208319108;0.262252375530133;0.00821764793552989;0.0866692053571593;0.234881223148586;2.10082802547763
30;0;0.0628301637523185;0.261110641841745;0.00816572178981872;0.0863759081803703;0.23406720620259;2.104331210191
31;0;0.0627784589274403;0.261351599658655;0.00816822095250994;0.0863879852844486;0.234111314904501;2.06503184713367
32;0;0.0626770245144495;0.260724332455515;0.00815223164305248;0.0862667492986509;0.233701620613846;2.04082802547757
33;0;0.0629796572046503;0.26114458359889;0.00819255793198012;0.0864456357411011;0.234146774607953;2.03070063694251
34;0;0.0626692610727247;0.258737921975218;0.00813503109620198;0.0861583256555547;0.233077297274483;2.02407643312085
35;0;0.0627790694092986;0.258932713635578;0.0081541099649285;0.0862717712296105;0.233344135948835;1.93235668789797
36;0;0.0629083118642288;0.259209945006787;0.00817093671354508;0.0862911170458723;0.233352016205644;1.92929936305721
37;0;0.0627557017984834;0.258965697360126;0.00813557427987621;0.0861344972659954;0.233130111104001;1.92121019108267
38;0;0.0625209062885458;0.257538163001248;0.00811607445047248;0.0859271826045794;0.232492270203323;1.87917197452217
39;0;0.0625491492135077;0.25879328347112;0.00812154800772889;0.0859574808428081;0.232844141414923;1.84764331210178
40;0;0.0627556821312875;0.259896712395248;0.00814455129134983;0.0860685752102258;0.233152209050332;1.8236942675158
41;0;0.0625929439388423;0.25895863056277;0.00811429321442174;0.0858537526505505;0.232347050085895;1.81872611464956
42;0;0.0625959817411725;0.260938170624018;0.00816898839923235;0.0859497365866435;0.232798483695616;1.80127388535026
43;0;0.0627251977794827;0.261318703290056;0.00820681834875534;0.0861634789205217;0.233302015075792;1.80866242038211
44;0;0.0626075285672232;0.261075993047751;0.00820012712898038;0.086118540615143;0.233204274955325;1.80732484076427
45;0;0.0627000237759962;0.261556611970796;0.00821840560490396;0.0859440732574107;0.232772904302594;1.76745222929932
46;0;0.0628370389818132;0.261863212489273;0.00823143887261177;0.0860172200655491;0.232967046730823;1.76063694267512
47;0;0.063005804662982;0.262394114985832;0.00829689459788507;0.0862194542511316;0.23335710818741;1.7597452229299
48;0;0.0629539449172755;0.261994043411836;0.00828767128306769;0.0859827744551427;0.232958724525882;1.71541401273883
49;0;0.0628905411605266;0.261838821860933;0.00826746494749406;0.0858716157941701;0.232741128569734;1.70605095541399
50;0;0.0627078451864259;0.261680770517252;0.00825603014235553;0.0856915160901512;0.231945388402222;1.68834394904457
51;0;0.0626924247121491;0.261697830800368;0.00825587778548541;0.0856801003559023;0.231918612140562;1.67840764331209
52;0;0.0626026476522184;0.261630332560983;0.00824538318959242;0.0855471817526777;0.231589977200155;1.65738853503182
