"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0716586384867542;0.292523652593727;0.0108445249838368;0.103183554578905;0.264597830935463;117.610891719745
3;0;0.0728486166075779;0.29619217250108;0.0108949072254152;0.103333559236867;0.265478937476267;43.1845222929942
4;0;0.0721945513271786;0.289409948343186;0.01068847743273;0.102436115260828;0.266337381286783;41.2154777070068
5;0;0.0727956386829915;0.291277930031924;0.0107500447947269;0.102790526264023;0.267558691604518;37.7155414012742
6;0;0.0733804641740816;0.294382227363057;0.0108062322414914;0.103000834283964;0.269230415516883;29.3087898089173
7;0;0.0732508194957556;0.293402689571234;0.0107454485789367;0.102755015257905;0.270544977733085;27.3536305732478
8;0;0.0737766505666625;0.294923281262814;0.010797248115647;0.102972444191457;0.271645072947013;23.1489171974524
9;0;0.0739054516557902;0.295313219175253;0.010880202076253;0.103428842385284;0.2728418724137;21.1591082802547
10;0;0.0747583965254136;0.297426461418425;0.0111076239698262;0.104365556269012;0.274878459923955;9.88719745222805
11;0;0.0744204882650759;0.295408962394668;0.0110027849071447;0.103760954013032;0.275724096848949;8.1985350318467
12;0;0.0740542807026862;0.294613578850595;0.0109559646179693;0.103283887729503;0.273863995545223;7.78292993630488
13;0;0.0743856133085279;0.2962128252384;0.0110736656359962;0.103705150662735;0.274736649325375;6.9428025477698
14;0;0.0744699878214861;0.299065972149344;0.0111133742925392;0.103597832115352;0.274933254763594;5.47210191082731
15;0;0.0744755773241018;0.298862829362035;0.0111160778219858;0.103605899533208;0.274954546023517;5.45936305732412
16;0;0.0740147021273072;0.296816724326271;0.0109446628285982;0.102915961367595;0.273941870000199;5.4108917197445
17;0;0.0741873591588143;0.297382468162313;0.0110096937170223;0.103190538311442;0.274580154137579;4.95509554140066
18;0;0.0737701035741243;0.296168431677828;0.0107865139589908;0.102222244864314;0.27197814635395;5.03624203821607
19;0;0.0734687275854635;0.295894089449892;0.0107163289875704;0.10185583616193;0.271263596028013;5.00789808917146
20;0;0.073501899294872;0.296378737141359;0.0106789886572757;0.101641046977807;0.271211237515278;4.18464968152852
21;0;0.0737363303224357;0.297974437077311;0.0107362140568503;0.101852708106485;0.271800593782547;4.01738853503164
22;0;0.0746565157171083;0.300663734514546;0.0108398661145448;0.102474810216323;0.273187002301065;2.82999999999952
23;0;0.0749970739959271;0.30134390047701;0.010856322119092;0.102538540254278;0.273354094848123;2.77490445859815
24;0;0.0743618277764963;0.300102262099666;0.0107788334187507;0.102043159536732;0.27237566933589;2.58305732484031
25;0;0.0741762594765716;0.299308405648216;0.0107819748353912;0.102050219990194;0.272386293439607;2.54675159235648
26;0;0.0742892332710539;0.305134980008884;0.0108197583254709;0.102218711252418;0.273366337919655;2.41121019108251
27;0;0.0742514448711106;0.305210761861806;0.0107914675177507;0.102081560995043;0.273305379581125;2.37955414012695
