"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.070979258286568;0.28636796801786;0.0104144921664816;0.101667092728763;0.266135198686723;156.739554140127
3;0;0.0707834665744111;0.281163202903202;0.0103672399932736;0.101299965377732;0.267833210402072;146.812929936306
4;0;0.0726648883166452;0.288509017600995;0.0107427399138155;0.103155773018964;0.272450537932478;65.8929299363023
5;0;0.0734818317955269;0.289490893006162;0.0108254687916065;0.103562450580889;0.273622482873863;25.4293630573271
6;0;0.0735490147068765;0.290535137593253;0.0107454109609215;0.103041355945869;0.273073301883927;23.6808917197486
7;0;0.0731627684261281;0.289103085120376;0.0107371370581987;0.102749643059602;0.27289023553678;22.8423566879002
8;0;0.0736745732162227;0.290480796438819;0.010831777718404;0.103162280576798;0.274637589497753;17.821592356689
9;0;0.074158447549686;0.29263234917521;0.0109796231442404;0.103858896144751;0.276767990672671;15.0655414012741
10;0;0.0742733560786914;0.293157186725679;0.0109004469158487;0.103366969674588;0.275889391132186;10.7705095541413
11;0;0.0742409087629936;0.293348168962187;0.0109023123679937;0.103324522359635;0.276066217368638;10.6435668789821
12;0;0.0745167612056607;0.294278891289789;0.0109720484690673;0.103650236348691;0.277112416164218;10.2173248407662
13;0;0.0745532736969466;0.29438144102365;0.0109800443549204;0.103701018462606;0.277240736053366;10.0695541401295
14;0;0.074408183419511;0.295610304770687;0.0109485440520734;0.103544905745687;0.276891153599218;8.59044585987463
15;0;0.0742172464194169;0.296139045604909;0.0109417510037188;0.103509246868126;0.276952194211483;8.5354140127407
16;0;0.0739886101178513;0.295755263945072;0.0108695408275574;0.103152800130512;0.27638970618281;7.33828025477782
17;0;0.0743638520102623;0.295278467957056;0.0108803204855528;0.103161163211812;0.27624751556027;7.2793630573254
18;0;0.0742950380256265;0.294003831450725;0.0108680201808896;0.103101132053475;0.276511083896594;6.33636942675178
19;0;0.0740481511675897;0.292966239110501;0.0108912508224934;0.103179303730403;0.277119977834454;6.35222929936327
20;0;0.0734028768542639;0.288638272944943;0.0105750306041117;0.102014837754119;0.275039084872258;6.34936305732489
21;0;0.0731475976986317;0.287729762680959;0.0105717624030316;0.101979234873375;0.275221411559461;6.29025477707031
22;0;0.0732884162856334;0.289562821373439;0.0105907880053812;0.101911524961183;0.274930206633336;5.76114649681669
23;0;0.0739377807668656;0.290818277775612;0.0107399153288701;0.102614043100886;0.276427027150858;5.26789808917399
24;0;0.073969740874912;0.290906290514648;0.0107653073387687;0.102687415756374;0.276648356522354;5.26859872611667
