"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0700140425688521;0.287909976147472;0.0104985748495117;0.102204674247307;0.260281145770156;904.280573248408
3;0;0.0699701830283265;0.290976487074068;0.0105470191377681;0.101717633249925;0.259699203693777;364.070636942675
4;0;0.0699027109468791;0.288920225748877;0.0104962526366051;0.101456167103368;0.259032683009545;344.804522292994
5;0;0.0693428767959275;0.285317672109384;0.0102026562439076;0.100603705879295;0.257822365396101;344.801210191083
6;0;0.0684493390889823;0.279486392671577;0.010005369697122;0.0993849755990674;0.256263566070997;313.664140127389
7;0;0.0691666142609326;0.281574699124772;0.0101392200569552;0.099652992239427;0.256577195183548;289.296242038216
8;0;0.0693295627149094;0.28495096362908;0.0101671786216676;0.0991325963874508;0.254913130306823;209.602738853506
9;0;0.0691014559084572;0.284461153315425;0.0100706724930175;0.0987798586530868;0.254126971050299;209.598853503187
10;0;0.0689037899867037;0.283334787596047;0.00998806726807115;0.0984334014885202;0.253736259350659;209.464585987264
11;0;0.0686919392828924;0.282129722356948;0.0099087690317097;0.0981351127564769;0.252887379652755;209.452229299366
12;0;0.0707522934812256;0.28927440188991;0.0100648939499027;0.0988406419019559;0.256419030376618;57.2448407643307
13;0;0.0706853703336005;0.288554177472735;0.0100720600207116;0.0988673787613481;0.256475251426189;57.2163057324834
14;0;0.0704766616122082;0.287948518498502;0.0100014817959577;0.0985986041849332;0.256307558950223;57.1924203821651
15;0;0.0713207087363948;0.290232134349332;0.0100345359304262;0.0981959174612725;0.254951003197214;49.6247133757953
16;0;0.0711001938990845;0.290169138631352;0.0100097493133745;0.0980512670217311;0.25457495278327;46.210828025478
17;0;0.0710084073519251;0.290051762532793;0.00997861651592639;0.0978942478424674;0.25430440397595;46.1922292993634
18;0;0.0709121276336017;0.289588365108712;0.00994602144639245;0.097713214583989;0.253842185065877;46.1906369426755
19;0;0.0711289749647262;0.290370015723566;0.00998691609928467;0.0978204613192125;0.254027484846644;46.1897452229303
20;0;0.0715757067400436;0.29120035188678;0.010045224104271;0.0981468946370875;0.254876605561398;43.2721656050965
21;0;0.072640991888229;0.2941166235687;0.010221845092109;0.0991221822547914;0.25756520315889;23.2830573248416
22;0;0.0725407733140005;0.293332167287105;0.0101904034159428;0.0989386049777507;0.25692054216596;23.2783439490454
23;0;0.0724717368383664;0.292699104662865;0.0101661726355826;0.0988394233717725;0.256575256971738;23.2797452229308
24;0;0.0725475171636827;0.293050824334561;0.0101385193500643;0.0986399793683734;0.257100427105951;22.9895541401283
25;0;0.0720907660327;0.291788767684691;0.0100603951092675;0.09816062793377;0.256186019504924;20.184076433121
26;0;0.0722839894287531;0.292278252656831;0.0101062495905002;0.0983647011491101;0.256691110769645;20.1832484076433
27;0;0.0721233558518408;0.291560965844819;0.0100892647113614;0.0981669778361018;0.256179124164789;20.17076433121
28;0;0.072440849246581;0.291241024362947;0.0101138659417087;0.0980343804940817;0.255495992077286;15.0426114649673
29;0;0.0717565989235761;0.290092007046238;0.00992904580119995;0.0972741998636338;0.254280468938719;14.9735031847129
30;0;0.0718611643099611;0.290015909692935;0.00994064156484613;0.0972595489429525;0.254390789934539;14.9314649681521
31;0;0.0718146219831896;0.289991541181999;0.00993748656675385;0.0972405219510344;0.254399678959697;14.761146496815
32;0;0.0720352931779006;0.290428139448059;0.0100136640671386;0.0975586522714137;0.25507088518815;14.7605732484073
33;0;0.0717207938619754;0.289077763268834;0.00997265008131961;0.0972304165629524;0.253697988884185;14.7289808917195
34;0;0.0715744229282507;0.288389345093248;0.00977603760581066;0.0959992464566722;0.251066686602723;14.1238216560508
35;0;0.0714113299696245;0.288153282917391;0.00976380257799607;0.0959055032563962;0.250793310447168;14.1235031847132
36;0;0.071621057995376;0.287954473650801;0.00984209420518487;0.0963544267544583;0.251992383489203;10.0725477707005
37;0;0.0716409666268634;0.287946120240898;0.00984678429689191;0.0963375808637156;0.251955781661414;10.0719745222929
38;0;0.0709319634173322;0.281366885033722;0.00967539891015528;0.0955378429326795;0.250764703073291;10.0073248407641
39;0;0.0708683692634614;0.281388138498362;0.00965820609170517;0.0954707124721027;0.250721933544127;10.0062420382163
40;0;0.0708885235695785;0.281557423154909;0.00964183509359608;0.0953780829342625;0.250545398256006;9.99878980891703
41;0;0.0710683384216811;0.281867535735145;0.00958064305157094;0.0951299418748223;0.250028701362443;9.98541401273869
42;0;0.0711884627338611;0.282148249653555;0.00961218042519189;0.0952560460876529;0.25024049918434;9.9845222929935
43;0;0.0711275351691502;0.282215503192349;0.00959973270421211;0.0950787707540154;0.249731185860208;9.90394904458589
44;0;0.0703321145618283;0.278672345019699;0.00942821669248606;0.0941925006527667;0.248318109640719;9.90624203821645
45;0;0.0703167531632128;0.278298089910696;0.00943840045843429;0.0942461189867374;0.248478299140543;9.90579617834384
46;0;0.0703751439781637;0.278423446717713;0.00944888694184523;0.0943011999154447;0.248623595282906;9.1757324840764
47;0;0.0702811644409739;0.278020889572728;0.00942754378254176;0.0940944972437461;0.248263378585959;9.16261146496811
48;0;0.0701608519320561;0.282180792199331;0.00943485400461293;0.0939723019031256;0.247695359912518;8.45439490445846
49;0;0.0700510739005433;0.281568677621713;0.00941866127875694;0.0937683796845517;0.246957901318228;8.44445859872594
50;0;0.0699703729479258;0.281546702666845;0.0093919895946403;0.093576178697157;0.246524001258926;8.40834394904442
51;0;0.0699170507273049;0.281544533188072;0.00939894913715316;0.0935565933076576;0.246468474298646;8.40834394904442
52;0;0.0697514269933089;0.281263588816749;0.00943276180192026;0.0936751602235129;0.246828163009154;8.40770700636929
53;0;0.0696311975404825;0.281025729853194;0.00939522473312842;0.0933621533833115;0.24593948179672;5.83426751592368
54;0;0.0691848395298194;0.279276711723959;0.00933054462545469;0.0929915377246654;0.244567089923811;5.80394904458623
55;0;0.0693329906338119;0.280431789277385;0.0093896035170803;0.0933416641308242;0.245752360006305;5.55707006369433
56;0;0.0688822867523776;0.27954876687602;0.00930035913143553;0.0928587580377969;0.244824548649478;5.55630573248415
57;0;0.0688669678817003;0.278992325148768;0.00929478055879489;0.0927933510419717;0.244832008709067;5.53821656050962
58;0;0.0689555007314409;0.279020382641476;0.00929822967844594;0.092810419659788;0.244846383685763;5.5304458598727
59;0;0.0688858303146571;0.278902912917664;0.00926827514200906;0.0926606723990823;0.24451361784742;5.52942675159249
60;0;0.0687305980585742;0.278477401860738;0.00924065334553659;0.0925214449295149;0.244224200657976;5.5289171974523
61;0;0.0688269638278263;0.278575008154475;0.0092611779028243;0.0926359885793431;0.24450290011991;5.52796178343953
62;0;0.068916226792583;0.278714868433135;0.00926138668689244;0.0926362300371048;0.244521264140001;5.5210828025478
63;0;0.0689750337362813;0.279067323985834;0.00927423242049533;0.0927101049915167;0.244956639456837;5.52063694267519
64;0;0.0690379427586124;0.276721461193544;0.00924685565705335;0.0925143259280344;0.246346815212117;2.66980891719739
65;0;0.069102877703026;0.277095082514742;0.00926315206200045;0.0926251966796221;0.24679068177908;2.66675159235666
66;0;0.0684771511034052;0.275868254400134;0.00915324306480406;0.0920401525637912;0.245903131463174;2.66280254777065
67;0;0.0683454984917852;0.275591683577128;0.00913775220148174;0.0919012301612642;0.245547822426213;2.66165605095541
68;0;0.0684536070409282;0.275771017111409;0.00916525880264391;0.0919981660706505;0.245710758934038;2.65375796178345
69;0;0.0682817798244323;0.275473824049916;0.00915048276046286;0.0919298395635345;0.245594190782426;2.65496815286629
70;0;0.0682326733108764;0.275195696561143;0.00915392498391232;0.0919484660886079;0.245673080305033;2.64318471337574
71;0;0.0680664909919309;0.274731187908629;0.00912186751187529;0.0917832789213367;0.245426975630107;2.63834394904456
72;0;0.0681270217403944;0.274822630102942;0.00912927846378656;0.0918379573203974;0.245566451951205;2.64050955414001
73;0;0.0681438774439476;0.274740812551223;0.00913499970472901;0.0918097657636367;0.245628112506165;2.63649681528648
74;0;0.0681144715775978;0.274559075436662;0.00912295504908691;0.0917241391142902;0.245449087935326;2.6029299363054
75;0;0.067768333963725;0.273256846490138;0.00905361331584848;0.0912234367933691;0.244721208886076;2.57210191082764
76;0;0.0677525874326775;0.273273116651081;0.00906205779320393;0.0912744055499142;0.244820951017989;2.57375796178309
77;0;0.0678166742329797;0.274184945463254;0.00908122138302207;0.0913552702684638;0.245153631428418;2.56987261146455
78;0;0.0677179234109921;0.273683420874035;0.00906000147073357;0.0912037090835817;0.244618156259459;2.56968152866196
