"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0703565742100338;0.288226275490493;0.0103100565499416;0.0993783635418575;0.250117209038225;98.2028025477701
3;0;0.0702800491418369;0.289188213736209;0.0102609072607424;0.098904382087473;0.248847062125583;86.4329936305733
4;0;0.0714185853008713;0.294576540586109;0.0104892387623863;0.100235722880945;0.253220095436816;57.0245859872607
5;0;0.0716833812922494;0.293160676603803;0.0106217618444289;0.100303396919832;0.256371839499909;41.1983439490432
6;0;0.07194443050407;0.295082792401521;0.0106151111615979;0.100264100184729;0.256306865697484;29.8015286624224
7;0;0.071066530301263;0.288019302647099;0.010433141602695;0.0989242250755241;0.25358641666398;29.3816560509564
8;0;0.0718868700546816;0.289839272632398;0.0105761462709718;0.0994787241762195;0.25471367547678;23.8796815286675
9;0;0.0721814504858591;0.290762259123331;0.0106338939631359;0.0998184942130778;0.25662063509939;23.6416560509604
10;0;0.0722221888986793;0.292400900124248;0.0106475807385045;0.099793517950384;0.25686132458619;23.5852866242086
11;0;0.0714554720322565;0.290933266575369;0.0102951139615157;0.0982313617320464;0.254986305156435;19.4489171974536
12;0;0.0723556255169401;0.293464352431359;0.0104229045696443;0.0989552535888137;0.257051831061271;10.0412101910831
13;0;0.0723303738878099;0.293341612832613;0.0104243385011446;0.098935473516499;0.256970628467952;9.92439490445917
14;0;0.0724624981018269;0.293861682978682;0.0104527232550068;0.0989497249078381;0.256993112119342;9.77426751592335
15;0;0.0724904534752658;0.293533432870119;0.0104549343477253;0.0989708828496672;0.256477428500842;9.78343949044566
16;0;0.0723401912521616;0.293681624191781;0.0104168390055641;0.0986969246859162;0.255874116672592;9.73108280254747
17;0;0.0725302430617897;0.293745821609375;0.0104744707183484;0.098934179067014;0.256440542820663;7.36299363057309
18;0;0.072069513336791;0.291225517475381;0.0103712099513387;0.0983477065074773;0.255482413980103;7.3470700636942
19;0;0.0719568107246817;0.292364340908452;0.0101574291568215;0.0975269904944918;0.253689920752332;7.22554140127335
20;0;0.0720749614130413;0.292899142166397;0.0101685975305854;0.0976005971705862;0.25388517729202;7.20789808917104
21;0;0.0719425676807858;0.291084582031663;0.0100854660578906;0.0969943779239502;0.252196413376578;5.58203821656026
22;0;0.0716959891174271;0.290706474897417;0.0100173242850761;0.0966864683563565;0.251720144430872;5.57757961783417
23;0;0.0719508262981486;0.291222364396394;0.0100432330488736;0.0968210022962342;0.252515155056174;3.49222929936416
24;0;0.0720775113747675;0.291744217852019;0.0100697245302644;0.0967476544058017;0.252054442974194;3.29382165605247
25;0;0.0719394323291179;0.291673694115901;0.01003826685825;0.0965532616828423;0.25139456519695;3.2832484076448
26;0;0.071815334908075;0.29367098113038;0.00998207391683293;0.0961777312498794;0.250476120024755;3.02197452229511
27;0;0.0717394245948986;0.293434376079494;0.00996801550281876;0.0960365967872248;0.250070788966161;3.01127388535248
28;0;0.0713157408579875;0.291985651774201;0.00989461494702703;0.0956883366585496;0.249757203712725;2.9747133757983
29;0;0.0712801987701931;0.291903151924684;0.00988534245278811;0.095578560719587;0.249578159856715;2.94235668789993
30;0;0.0715317689608335;0.291587142137703;0.00987267556805095;0.0954875144739789;0.249455440719584;2.74630573248629
31;0;0.0713718035184941;0.291375975813289;0.00981819974669476;0.0952022445868376;0.248574108833428;2.62057324840955
32;0;0.071224945929014;0.291311058108022;0.00978753715886875;0.0950778924008327;0.248362356835255;2.53267515923704
33;0;0.0713336185265122;0.294081492499205;0.0098726940567281;0.0955503795551319;0.249808980685078;2.44324840764445
34;0;0.0712373513043305;0.293807550098694;0.00986421512238991;0.0953945982113913;0.249164190008809;2.44267515923683
35;0;0.0711637400645305;0.293704825216044;0.00984823664728009;0.0952298742428804;0.248646810829913;2.43439490445969
36;0;0.071328757422468;0.294609171970313;0.00990573154784239;0.095558625337834;0.249431703064234;1.93840764331267
37;0;0.0711770090127892;0.293520861367688;0.00988743036709825;0.0953413793940251;0.248014686783911;1.93904458598763
38;0;0.0711050657385641;0.293358595446065;0.00988187689796037;0.0951996587949556;0.247609893230948;1.93101910828075
39;0;0.0714348999906037;0.294601813607277;0.00997255861398977;0.0956290737244039;0.248735982078238;1.80445859872664
40;0;0.071362132642177;0.293309922188809;0.00993988596119785;0.0954596668203393;0.248290618402279;1.7517197452234
41;0;0.0712369946669987;0.29286645003305;0.00992863652661377;0.0953486810752878;0.247954709898672;1.75140127388587
42;0;0.071038373648184;0.292306876736208;0.00989615129458717;0.0951277911127419;0.247462044549943;1.74681528662469
43;0;0.070667968932365;0.291223836848387;0.00984697250363787;0.0948358722436054;0.246832391606736;1.74579617834432
44;0;0.0706968760792493;0.291086483517609;0.0098330189960892;0.0947705467025862;0.246704574840118;1.72853503184712
45;0;0.07061070992078;0.290722576531145;0.00983931828374322;0.0947807717398308;0.246842135908369;1.69191082802553
46;0;0.0705353280852967;0.290274448724865;0.00982134294124088;0.0946205798059845;0.246120643294166;1.69000000000001
47;0;0.0704083509810968;0.290201564450841;0.00982428917758527;0.0946412941895663;0.24626508633944;1.68165605095544
48;0;0.0705600898970284;0.290963648228737;0.00983396585629384;0.0947077633052569;0.246441824264924;1.65961783439491
49;0;0.0703343170564726;0.289658087982489;0.00980150211426647;0.0945054825558813;0.245837217760779;1.65445859872625
50;0;0.070134519081039;0.287871423477916;0.00974268348755064;0.0941072629198433;0.245170411734169;1.64299363057342
51;0;0.0700948335466752;0.287770366152597;0.00974157042983358;0.094082313578459;0.245105267876144;1.6356687898091
52;0;0.0699814692768633;0.287712354415052;0.00973249502419934;0.0940142615164566;0.24496296961238;1.63171974522316
53;0;0.0699281450235861;0.287742339488021;0.00971817374908386;0.0939230132495798;0.244899856180867;1.55401273885378
54;0;0.0697998142875449;0.28732753977127;0.00968162858827551;0.0936616559553195;0.244081846496533;1.55388535031881
55;0;0.0698700592620697;0.286982103678205;0.00965970832680341;0.093489934817996;0.243712974007686;1.537388535032
56;0;0.0696342621307294;0.287159537962339;0.00962965552604223;0.0931960382849148;0.24285993454186;1.47866242038222
57;0;0.0692064024471266;0.285808428094693;0.00951609849687952;0.0928580975143402;0.24216322945093;1.43382165605124
58;0;0.0690996176064736;0.285291397329996;0.00950347980452862;0.0927611282109983;0.241998638759995;1.42503184713396
59;0;0.0687271868213112;0.28373427236437;0.009382171073592;0.0923280025582425;0.241034513116231;1.41700636942685
60;0;0.068787166589257;0.284079574812879;0.00938570297495952;0.0923349586960738;0.241083850283328;1.41203821656059
61;0;0.0688915991264821;0.284409892943883;0.00941367556299387;0.0924750588845411;0.24144828477915;1.36573248407645
62;0;0.0688110926662558;0.284352245812109;0.00941629222140649;0.0924213815916795;0.241265786744575;1.36343949044594
63;0;0.068803393264465;0.284077447410739;0.0094068471769977;0.0923641046228148;0.241131471770555;1.32401273885352
64;0;0.0686424420732289;0.283477073880848;0.00938049760168041;0.0922310040601988;0.241878135018873;1.31554140127391
65;0;0.0687449171832088;0.283705661883108;0.0093892302489;0.0923152072130352;0.242075315030654;1.31496815286627
66;0;0.0687831559706221;0.283823021531724;0.00939354774859539;0.0923028932299156;0.242103095089022;1.30203821656048
67;0;0.068820904310847;0.283990555980342;0.00941026231296166;0.0923830651831564;0.24232989424568;1.29089171974519
68;0;0.0687382998139317;0.283764108379549;0.00939052411124587;0.0922732172540911;0.242158060535525;1.2938853503184
69;0;0.0687376058755205;0.283513334372504;0.00938993636746615;0.0922477739203788;0.241974416747032;1.29312101910821
70;0;0.0689011054543601;0.284192749282028;0.00944402232167797;0.0924939360276506;0.24246921866237;1.27968152866247
71;0;0.0688619515056557;0.284045579880162;0.00943582348931373;0.0924071421350043;0.242317764139057;1.27828025477711
72;0;0.0688112334748903;0.283901075391065;0.00942452034852899;0.0923299582045117;0.242213294225004;1.27019108280263
73;0;0.0687904943379386;0.284279344171759;0.00942126543327954;0.0923060538713558;0.242288599254433;1.22585987261169
74;0;0.0688010173229359;0.284407348329441;0.00938508292094231;0.0920636579738933;0.241939776971971;1.20121019108301
75;0;0.0688876298160475;0.284696004601597;0.00944055148149422;0.0922620086403185;0.242242576427994;1.20127388535052
76;0;0.068912790362706;0.28481898649832;0.00943730940657067;0.092072441153556;0.241669125378046;1.17356687898108
77;0;0.0688381087677245;0.284625104769452;0.0094336379677072;0.0920183991438201;0.241622311301392;1.17267515923584
78;0;0.0686236454898569;0.284195243341372;0.00939980701763619;0.0917822008038967;0.2411041568029;1.17191082802565
