"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0708249175467243;0.289830421292501;0.0104947206592866;0.100269620565204;0.251826316563761;121.803375796178
3;0;0.0702647413387398;0.287294608942089;0.0103818175384429;0.0992202459878696;0.251099038344039;107.270127388535
4;0;0.0716554460294495;0.29150120500184;0.0106562587170451;0.100898698216313;0.255754295153464;90.0856687898089
5;0;0.0719484205702214;0.289722596416643;0.010851428384183;0.101098710340033;0.257491460720868;41.3101273885351
6;0;0.0719662214984809;0.290086813519691;0.0108547394294953;0.101093074471083;0.257528779599005;41.2570063694268
7;0;0.0718538554857728;0.28835038027332;0.0108364668766654;0.100884317845306;0.256349996631725;41.2345222929936
8;0;0.0710158253864109;0.287334864742973;0.0105600932777995;0.0996064304656777;0.254070026581851;36.5474522292994
9;0;0.0714653867231384;0.288719395703874;0.0106084425782799;0.0996316146790079;0.253718899705023;37.2557324840765
10;0;0.0711515228291333;0.288232263754881;0.0105299521714733;0.0991373758434632;0.253049966060756;36.0033121019109
11;0;0.0711140188830739;0.288317939952798;0.0104565357979399;0.0988130939651388;0.252178228446086;36.2194267515924
12;0;0.0711542594313893;0.287145059626233;0.010443581675648;0.0986897043881878;0.251913870546892;19.7270700636943
13;0;0.0710987790211587;0.287225731994;0.0104459529093797;0.0986891812922392;0.252245495550074;18.8554140127388
14;0;0.071365834132738;0.289812635680031;0.0104699448279366;0.0989524708305417;0.253818082567289;18.8450955414012
15;0;0.0710168833742212;0.288256096154844;0.0103947959702644;0.0984419643563833;0.252615359459754;16.046560509554
16;0;0.0712568028308074;0.28947750965661;0.0104166321485714;0.0983775802835254;0.252452642815755;15.8898726114647
17;0;0.0718795131132109;0.28991126997201;0.0103132646269922;0.0977896207728248;0.251723129237159;7.81980891719713
18;0;0.0720429478696654;0.290124656390735;0.0103280428967292;0.0977910840023253;0.25167201386763;7.69484076433098
19;0;0.0714919384555541;0.28971500599971;0.010073584736836;0.0967710894506263;0.249064092059146;6.90509554140116
20;0;0.0716929251410417;0.290461324392689;0.0100927964994061;0.0969480702610477;0.249695791728812;6.79070063694258
21;0;0.0718812341253217;0.291445192304918;0.0101516479066258;0.0971162211056268;0.250127388887083;5.67643312101903
22;0;0.0724936960677687;0.292689188802433;0.0102430935810156;0.0974677651104143;0.251024966892526;4.52324840764309
23;0;0.0723729239751647;0.2930763288261;0.0102140957012286;0.0972803528269941;0.250693802585579;4.50388535031826
24;0;0.0726873314239031;0.294030988769127;0.0102368653228111;0.0973039055591445;0.250778306094553;2.9752229299361
25;0;0.0726479100163853;0.293708327706877;0.0102143495257128;0.0971352909885442;0.250392625605064;2.84229299363046
26;0;0.0725117533790639;0.292921623193589;0.0102009803545836;0.0970092498785299;0.250031126443087;2.83171974522285
27;0;0.0727174059618025;0.295392034369309;0.0102338799330367;0.0971150569013571;0.250735461225607;2.78286624203819
28;0;0.072516085166965;0.294995932449888;0.0102183286177266;0.0969696525051952;0.250373199350878;2.78898089171969
29;0;0.0721636096577043;0.294905097044524;0.0101910034727776;0.0968055940875509;0.250048807750287;2.66044585987253
30;0;0.0722341171723023;0.296773869543055;0.01021357229057;0.0968712122557819;0.250376720805728;2.53222929936293
31;0;0.071997850273849;0.295127724297785;0.0100994194795309;0.0964185299049035;0.249470618804499;2.47987261146481
32;0;0.0719387254335171;0.294332697998841;0.0100834178789816;0.096325712761296;0.249437644119646;2.35866242038209
33;0;0.0719509264138933;0.294453628960146;0.0100866523425018;0.0962940280909376;0.249332665704634;2.29999999999989
34;0;0.0715104596795969;0.292804494108589;0.0099965906071078;0.0958350421570265;0.248732215295658;2.29891719745213
35;0;0.0714199229590085;0.292287757852616;0.00996861397093364;0.0956148673332728;0.248197875856861;2.28656050955413
36;0;0.0713576015532688;0.291805464162558;0.00996263754850058;0.0955534084955285;0.247847229755449;2.28859872611459
37;0;0.0714296670649817;0.291502192439283;0.00997268724206467;0.0954988365347743;0.248361119778713;2.26547770700639
38;0;0.0713333784323032;0.291166303357846;0.00987703222596134;0.0952321516069081;0.247872978202056;2.26363057324844
39;0;0.0712743593258352;0.292496793265998;0.00982066722882618;0.0949540826418564;0.247293825000758;2.23229299363052
40;0;0.0711412584955366;0.291447076673013;0.00979521885604842;0.0948200217108548;0.247207333458539;2.11834394904448
41;0;0.0713657547466827;0.292130212010313;0.00979726702938659;0.0948316091149027;0.247217836968313;2.01286624203803
42;0;0.0713135272709108;0.291948725551757;0.00978988367874436;0.0947277339147349;0.246937820267987;2.00687898089155
43;0;0.0712518151097415;0.291946269840778;0.00978415237393674;0.094674742009701;0.246838453030213;1.96949044585967
