"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0693452028718424;0.286809825468716;0.01025824225651;0.0997092876718816;0.251906578580694;118.637452229302
3;0;0.0691146287032631;0.284980869553744;0.0101892902808375;0.0990404916542716;0.250416847754172;115.387070063695
4;0;0.069952523061205;0.285435055052876;0.0102388132156881;0.0983255875945847;0.248217765491543;40.0771974522313
5;0;0.0703820267806384;0.288128860696543;0.0102479608723192;0.0982228777951653;0.248030499307745;35.0292356687895
6;0;0.0702142283981774;0.286184341115967;0.0102326969522508;0.0980259766635465;0.247100504824646;35.0514649681525
7;0;0.0707281071147083;0.286361941785532;0.010388857815723;0.0983881906753091;0.249519185285282;30.2644585987265
8;0;0.071326010324655;0.287764217827263;0.0104897064212228;0.0989147010757974;0.251016615000437;25.8950318471345
9;0;0.0713629370851615;0.287799874967142;0.0104846952533522;0.0988696706902983;0.251713757354641;25.8556050955427
10;0;0.0724891806849089;0.291339829368938;0.0107214542989087;0.100012303054007;0.254267387316167;13.8250955414034
11;0;0.0724516767388496;0.291425505566855;0.0106480379253753;0.0996880211756821;0.253395649701497;13.4928025477736
12;0;0.0724573182383646;0.290953151577012;0.0106669558131828;0.0998125634006615;0.253943878265628;13.1345859872648
13;0;0.0718560165090421;0.289920358345157;0.0105256259914232;0.0992190136938272;0.253147104845855;12.668726114651
14;0;0.0721230716206215;0.292507262031187;0.0105496179099802;0.0994823032321296;0.25471969186307;12.6209554140143
15;0;0.0717741208621047;0.290950722506001;0.010474469052308;0.0989717967579712;0.253516968755535;11.7668152866242
16;0;0.0720215236908501;0.288286897439387;0.0104266696210084;0.0987381716046292;0.253483411962607;5.72560509554297
17;0;0.0714705142767388;0.287877247048362;0.0101722114611152;0.0977181770529302;0.250875490154123;5.58687898089284
18;0;0.0716339490331933;0.288090633467087;0.0101869897308521;0.0977196402824307;0.250824374784594;5.5203821656062
19;0;0.0715280505436816;0.287903407952882;0.010166933885656;0.0976054285334445;0.251007432019232;4.47936305732536
20;0;0.0714139987896261;0.289061224373848;0.0101451037772934;0.0974019591581764;0.251159015488011;4.41031847133794
21;0;0.0715665427533748;0.289727758889719;0.0101665797068052;0.0973615834808127;0.250990937882198;4.38076433121065
22;0;0.0721934901576969;0.29076403622948;0.0102423809699782;0.0975927947250189;0.251429188679473;3.71751592356888
23;0;0.0722736738345476;0.291075009139786;0.0102518708614968;0.0976505253833992;0.251602339374228;3.70426751592565
24;0;0.072033484365827;0.29087894990818;0.0101955205260492;0.0971488655182464;0.250474517570329;3.26503184713422
25;0;0.0719940629583092;0.29055628884593;0.0101730047289509;0.0969802509476461;0.25008883708084;3.24165605095636
26;0;0.0719886484054579;0.28987567160243;0.0101485426994387;0.0968157080919385;0.249910348043897;3.01859872611631
27;0;0.0718524917681365;0.289088967089141;0.0101351735283094;0.0966896669819242;0.24954884888192;3.01171974522476
28;0;0.072058144350875;0.291559378264861;0.0101680731067625;0.0967954740047514;0.25025318366444;2.93114649681679
29;0;0.0718568235560375;0.291163276345441;0.0101525217914525;0.0966500696085895;0.24989092178971;2.91878980891868
30;0;0.0718713050813954;0.291046216030477;0.0101721536991724;0.0967095409262355;0.250074696251156;2.86464968153005
31;0;0.0721230344954545;0.295091218566641;0.0102251091497737;0.0969813206076118;0.250765475111179;2.64789808917291
32;0;0.0718844870520195;0.293683064597638;0.0100945588945349;0.0964374822687291;0.249570620233491;2.59407643312218
33;0;0.0717939503314312;0.293166328341665;0.0100665822583607;0.0962173074449754;0.249036280794694;2.5827388535044
34;0;0.0717316289256915;0.292684034651607;0.0100606058359276;0.0961558486072311;0.248685634693282;2.57114649681655
35;0;0.071291162191395;0.291034899800051;0.0099705441005336;0.09569686267332;0.248085184284306;2.54936305732607
36;0;0.0709426449407974;0.290359469472332;0.00987676161933897;0.095248688906387;0.247391486898638;2.4354777070071
37;0;0.0711396066378994;0.290854149155936;0.00993907001217469;0.0955177682700021;0.248083028845433;2.22222929936419
38;0;0.0712116721496123;0.290550877432661;0.00994911970573878;0.0954631963092478;0.248596918868697;2.16375796178455
39;0;0.0712983455296048;0.29205926681857;0.0099310124241446;0.0952425393807213;0.247987390086289;1.93617834394953
40;0;0.0715228417807508;0.29274240215587;0.00993306059748276;0.0952541267847692;0.247997893596063;1.73974522293016
41;0;0.0714265531480723;0.292406513074434;0.00983740558137943;0.0949874418569031;0.247509752019406;1.73847133757984
42;0;0.0713743256723004;0.292225026615877;0.0098300222307372;0.0948835666567352;0.24722973531908;1.73305732484104
43;0;0.0713126135111311;0.292222570904899;0.00982429092592958;0.0948305747517014;0.247130368081306;1.7280891719749
44;0;0.0712215004527257;0.291696327600849;0.00982054860951077;0.0947442123801611;0.246800533317008;1.72426751592386
45;0;0.0708894784509812;0.290656348505977;0.00975690500023565;0.0943829866370593;0.245974358872713;1.61382165605134
46;0;0.0708945082810541;0.290538334063268;0.00975268350068079;0.0943535048165942;0.245917547347414;1.5733121019111
47;0;0.0706865125457325;0.289930659058211;0.00972427034955083;0.0940837551310305;0.245225913883517;1.56891719745276
48;0;0.0706337410563276;0.290359718920172;0.00973283032388165;0.0940849664187562;0.245350134033066;1.5037579617837
49;0;0.0705788408449908;0.289828300506464;0.00972162135276649;0.0939761093599647;0.245144357354513;1.50337579617861
50;0;0.0705156248856689;0.289814083457866;0.00972934083895336;0.0940232215877484;0.245361387044676;1.50050955414072
51;0;0.0706640024504725;0.290334227061141;0.00974254243956749;0.0940940284461743;0.245539969688011;1.486242038217
52;0;0.0704447144127231;0.288122997264011;0.00967953846272087;0.093777920182313;0.246238654995849;1.45471337579671
53;0;0.0702229209456889;0.288258254888308;0.00970071242608435;0.0938845588191026;0.246471923144811;1.4495541401277
54;0;0.0700584782486059;0.286582992702196;0.00963757325778722;0.0936155266991304;0.246411938228449;1.43834394904484
55;0;0.0701692428362804;0.286917587506934;0.00963306870917983;0.0935734213644283;0.246505058925824;1.40452229299395
56;0;0.070075772547319;0.286017721713507;0.00957305664919482;0.0933393297177879;0.24607902471494;1.36299363057363
57;0;0.0700027779131015;0.285814266314923;0.00956364455867786;0.0931908713487647;0.245633218808244;1.34987261146497
58;0;0.069852010844296;0.284325672151628;0.00952674867448737;0.0930613826015734;0.245326809785037;1.35254777070072
59;0;0.0698157082014172;0.284219875154035;0.00953045640948108;0.0930825648552796;0.245392133057254;1.35210191082804
60;0;0.0695729802252386;0.283783905364211;0.00946890812567487;0.0927273254103342;0.244676342150542;1.33968152866241
61;0;0.0695103986790415;0.283762751402754;0.00941803247485631;0.0923492830104657;0.243982789833516;1.3300000000001
62;0;0.0695406645947927;0.283801378638373;0.00942082616841923;0.0923603107696644;0.243999456686479;1.32331210191091
63;0;0.0693208316823939;0.282729662706098;0.00939486970856576;0.0920418260547299;0.242615257971975;1.32140127388541
64;0;0.0693830656978319;0.283036446958035;0.00941843983841637;0.091898462656028;0.241933560460323;1.32025477707008
65;0;0.0692657266783149;0.282380296749566;0.00938375009915483;0.0916649119532108;0.241270394421519;1.30942675159239
66;0;0.0692844707561543;0.282304140987901;0.00939830200787904;0.0917150967965413;0.241432231083379;1.30222929936309
67;0;0.0689083174508884;0.281843534254676;0.00931750678019455;0.0913614556212428;0.240972537355044;1.30382165605112
68;0;0.0689943281758136;0.281250483793556;0.00938413060269673;0.0915837571749639;0.241504493140272;1.29095541401288
69;0;0.0691701376551576;0.28122106479672;0.00943374369805396;0.09181636091022;0.242928049416247;1.29273885350341
70;0;0.0692297234246285;0.281221667183711;0.00941562866952372;0.0916489326633354;0.242472757725431;1.27821656050977
71;0;0.0692161755514081;0.281204708425123;0.00941956113831141;0.0916458562297541;0.242479177253162;1.27764331210212
72;0;0.0694357841706007;0.281919377084829;0.00948432168381011;0.0919211277985981;0.243012205519788;1.27547770700667
73;0;0.0692213208927331;0.281489515656748;0.00945049073373909;0.0916849294586747;0.242494051021296;1.27464968152898
74;0;0.0694251023624607;0.281901849728135;0.00950179998300806;0.0919088201964551;0.242891829782893;1.26331210191113
75;0;0.0693712749360363;0.281792400883752;0.00947394021544404;0.0916715987481316;0.242369769051759;1.22127388535054
76;0;0.0693318859716601;0.281637475302742;0.00946619970232697;0.0915585349962749;0.241912485608314;1.21318471337599
77;0;0.0694524702079296;0.281889723820934;0.00950121950691263;0.0916799812191723;0.242113880371688;1.21267515923585
78;0;0.0692623534746886;0.28104850891541;0.00946228963911374;0.091496400972543;0.241692828254065;1.20509554140142
