"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0720834031488943;0.289006765415531;0.0107115871844853;0.102944953078398;0.261367687882341;119.208280254777
3;0;0.0721534289972364;0.288199727750268;0.0107534369492781;0.103124593292783;0.261744907265912;115.860127388535
4;0;0.0723686081466365;0.289484844047121;0.0108136099023199;0.103379395717774;0.262221718643784;111.421401273885
5;0;0.072373441764098;0.289635513920624;0.0107534023116237;0.103050422580548;0.261449788200036;111.423821656051
6;0;0.0722277489426553;0.288946405734938;0.0106560683764927;0.102609618844385;0.26087091403987;96.6598726114649
7;0;0.0734307474881984;0.294806241591127;0.0108493185963249;0.103611665132139;0.264022082811618;46.8155414012739
8;0;0.0733965376892019;0.29276493873128;0.0107746613983499;0.10321395830587;0.263505887958398;17.6782165605097
9;0;0.0740558531132276;0.29560891558936;0.010948240717019;0.10407109539112;0.26653112120417;15.1579617834399
10;0;0.0743222713413572;0.297085324919524;0.0109186222616894;0.103645565766571;0.265149743097151;13.6101273885356
11;0;0.0746436848749711;0.301261328686197;0.0108936611049342;0.103540082187007;0.265048730082826;11.1151592356695
12;0;0.0748096865716764;0.301507136020916;0.010903107683511;0.103588061779614;0.265169602446487;8.47433121019113
13;0;0.0749549099260813;0.301832009471221;0.010931673222709;0.10350390381549;0.26487826897116;8.45471337579619
14;0;0.0752190811910439;0.302624773423507;0.0109873920096741;0.103788583536477;0.265895593988423;8.11968152866242
15;0;0.0760270953641875;0.303164722414554;0.0110877806873286;0.104242420411071;0.267381350324309;5.89668789808948
16;0;0.0766243405755855;0.30551746814107;0.0111992940954339;0.104802065136549;0.268899195237834;5.19401273885376
17;0;0.0766722199397195;0.305935911646567;0.0111384940992772;0.104489991974741;0.268240408609684;4.25662420382172
18;0;0.0765677032941269;0.304644512815721;0.011216194210395;0.10476161694124;0.268768945063357;3.97687898089186
19;0;0.076398057789716;0.305460905490737;0.0112113833422723;0.104726425285903;0.270019787090583;3.8941401273887
20;0;0.0763120022187903;0.303784318367045;0.0111956365502061;0.104611025292442;0.26963141374153;3.7758598726116
21;0;0.0763225899117439;0.303320031169936;0.0111744595763462;0.104358844372135;0.269069863813543;3.72764331210193
22;0;0.0762274898476665;0.303540659661093;0.0111516278839917;0.104154068214869;0.268330108490145;3.69248407643306
23;0;0.0762639313441049;0.303826865102555;0.0111487836201074;0.104135892031772;0.268286902097395;3.52031847133737
24;0;0.0765067593958025;0.306104652376252;0.0111855599843309;0.103814129351964;0.26747111100639;3.41178343949033
25;0;0.0765558436753221;0.306463511257835;0.0111651801806116;0.10369239925392;0.2677416819647;3.38955414012731
26;0;0.0776157437693959;0.309305198627986;0.0113460687060793;0.104578496220331;0.269748518237336;2.67840764331207
27;0;0.0778177361279521;0.312628719173867;0.011410008782434;0.104846227885671;0.270394765218184;2.55076433121005
28;0;0.0775487579541363;0.311803442673287;0.0113667537835199;0.104561719764298;0.269823461689624;2.54917197452214
29;0;0.0775127521239056;0.31430158403365;0.0113714599127773;0.104425275364918;0.269262724126451;2.52859872611452
30;0;0.0775113033458872;0.314257042042588;0.0113803069931051;0.104462026089644;0.269405776505534;2.49719745222906
31;0;0.0775476765069398;0.314490210167222;0.0113903581704661;0.104305410949162;0.269030905244278;2.53095541401255
