"Contrato";"Total"
"6351960";260
"6353617";260
"6354706";260
"6355390";260
"6355405";260
"6357841";260
"6358872";260
"6358890";260
"6361595";260
"6364682";260
"6369773";260
"6369836";260
"6373373";260
"6373376";260
"6373402";260
"6373577";260
"6373793";260
"6377862";260
"6378402";260
"6384426";260
"6386652";0
"6391847";0
"6391856";260
"6392760";260
"6393621";260
"6394348";260
"6396185";260
"6396198";260
"6396344";260
"6396364";260
"6397734";260
"6397830";260
"6398496";260
"6400127";260
"6400489";263
"6400759";0
"6400989";262
"6400993";262
"6400994";262
"6400997";262
"6401005";262
"6401855";263
"6402165";0
"6402168";262
"6402171";0
"6402172";262
"6402214";263
"6406085";260
"6406092";260
"6406280";260
"6409317";260
"6410146";260
"6412073";260
"6416024";260
"6416203";260
"6416226";260
"6420135";260
"6422694";260
"6429112";260
"6429753";260
"6429769";260
"6429916";0
"6429987";260
"6430007";0
"6430564";260
"6430577";263
"6430918";260
"6431079";260
"6431097";260
"6431126";260
"6431127";260
"6431268";260
"6431273";263
"6431327";262
"6431331";260
"6431414";260
"6431415";260
"6431427";260
"6431430";260
"6431521";260
"6431524";260
"6431535";260
"6432723";260
"6432724";263
"6432725";260
"6434297";260
"6434298";260
"6434299";260
"6436099";260
"6436100";260
"6436906";260
"6436974";260
"6437379";260
"6438510";260
"6438908";260
"6439676";260
"6439812";260
"6439813";260
"6439814";260
"6439815";260
"6440330";260
"6440364";260
"6440366";260
"6440370";0
"6440893";260
"6440894";260
"6441166";260
"6441169";260
"6441171";260
"6441172";260
"6441173";260
"6441174";260
"6441175";260
"6441237";260
"6441354";260
"6441356";260
"6441467";260
"6441469";260
"6441473";260
"6441899";260
"6441902";260
"6441903";0
"6441924";260
"6442236";260
"6442999";260
"6443000";260
"6443006";260
"6443818";260
"6443831";260
"6444397";260
"6444401";260
"6444403";260
"6444406";260
"6444534";260
"6444851";260
"6445155";260
"6447936";263
"6449098";260
"6449099";260
"6449801";260
"6449803";260
"6449806";260
"6451307";260
"6451392";260
"6451505";260
"6451703";260
"6452755";260
"6453067";260
"6453070";260
"6453255";260
"6453259";260
"6453279";260
"6453281";260
"6453283";260
"6453523";263
"6456676";260
"6456677";260
"6456678";260
"6456679";260
"6456681";260
"6456682";260
"6456864";260
"6457709";263
"6459510";260
"6461478";260
"6462152";262
"6462640";260
"6464310";260
"6465914";0
"6466823";260
"6466824";260
"6466825";260
"6467039";260
"6467040";260
"6467298";260
"6470504";260
"6472805";260
"6473003";260
"6473494";263
"6474329";260
"6475894";260
"6476819";260
"6477901";260
"6478559";260
"6481231";260
"6482295";260
"6483443";263
"6484593";263
"6489824";263
"6491890";260
"6495095";260
"6496230";0
"6496232";260
"6496354";262
"6500330";260
"6501672";263
"6502323";260
"6502668";260
"6503842";263
"6504565";260
"6505874";260
"6506989";263
"6506990";263
"6507780";260
"6507785";260
"6510170";260
"6513888";263
"6515860";260
"6515865";260
"6523676";260
"6524125";262
"6525295";262
"6525876";260
"6526963";260
"6528098";260
"6530198";260
"6533395";260
"6536623";260
"6537194";260
"6543897";260
"6544813";260
"6547404";260
"6548037";260
"6548038";260
"6551656";260
"6552773";260
"6558924";260
"6559630";260
"6560222";260
"6560231";260
"6564834";260
"6566294";260
"6566575";260
"6568029";260
"6587228";260
"6587395";263
"6595270";260
"6596867";260
"6598500";260
"6598803";260
"6598925";260
"6598940";260
"6605391";260
"6605396";260
"6606317";260
"6606724";263
"6611136";260
"6617012";260
"6617017";260
"6617582";263
"6617583";263
"6619213";262
"6619762";260
"6620509";260
"6620670";260
"6620685";260
"6621311";260
"6626209";260
"6629187";260
"6630537";260
"6632651";260
"6635588";260
"6635590";260
"6636324";260
"6636326";260
"6647357";260
