"Contrato";"Fecha_Min";"Fecha_Max";"NDVI.NA.n_TotalD";"NDVI.NA.n_TotalNA";"NDVI.NA.n_MaxNA";"NDVI.NA.Mean_Min";"NDVI.NA.Mean_Mean";"NDVI.NA.Mean_Max";"NDVI.NA.Mean_TotalNoNA";"NDVI.NA.Mean_TotalNA"
"6351960";2018-12-17;2021-07-14;1;41;37;-0.0495488567447121;0.471635595691056;0.784022817557508;133;41
"6353617";2018-12-17;2021-07-14;1;41;37;-0.0415299708644549;0.273762265087968;0.52541740404235;133;41
"6354706";2018-12-17;2021-07-14;2;41;37;-0.0367225701255458;0.262889039022741;0.466514910732142;133;41
"6355390";2018-12-17;2021-07-14;1;41;37;-0.0646605277433991;0.326375875363765;0.605365961790085;133;41
"6355405";2018-12-17;2021-07-14;1;41;37;-0.0362242716364563;0.40352945293303;0.740250580012798;133;41
"6357841";2018-12-17;2021-07-14;1;41;37;-0.0345423147082329;0.158298724604056;0.407304674386978;133;41
"6358872";2018-12-17;2021-07-14;1;41;37;-0.0469540773580472;0.317008028910052;0.517622411251068;133;41
"6358890";2018-12-17;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6361595";2018-12-17;2021-07-14;1;41;37;-0.0782955777831376;0.188691984758585;0.41936028500398;133;41
"6364682";2018-12-17;2021-07-14;1;41;37;-0.0468502081930637;0.293792472230586;0.645585119724274;133;41
"6369773";2018-12-17;2021-07-14;1;41;37;-0.0383566590026021;0.379191023094319;0.673119777441025;133;41
"6369836";2018-12-17;2021-07-14;1;41;37;-0.03553756326437;0.281451042668012;0.525521218776703;133;41
"6373373";2018-12-17;2021-07-14;1;41;37;-0.0308769047260284;0.20679921807049;0.376230120658875;133;41
"6373376";2018-12-17;2021-07-14;1;41;37;-0.0377298407256603;0.154131851986781;0.322063525517782;133;41
"6373402";2018-12-17;2021-07-14;1;41;37;-0.0363573739305139;0.209321800833594;0.496364906430244;133;41
"6373577";2018-12-17;2021-07-14;1;41;37;-0.0278232974215196;0.476279685907001;0.83065553353383;133;41
"6373793";2018-12-17;2021-07-14;1;41;37;-0.0307802772149444;0.356399184860739;0.820477992296219;133;41
"6377862";2018-12-17;2021-07-14;1;41;37;-0.0470139756798744;0.153357112472982;0.417921155691147;133;41
"6378402";2018-12-17;2021-07-14;1;41;37;-0.0316451381271084;0.238478332394079;0.606376265486082;133;41
"6384426";2018-12-17;2021-07-14;1;41;37;-0.0392169857567007;0.236965038283655;0.50179874626073;133;41
"6391856";2018-12-17;2021-07-14;1;41;37;-0.0436280662459987;0.320862370241577;0.604095063039235;133;41
"6392760";2018-12-17;2021-07-14;1;41;37;-0.0435162167996168;0.344833624218564;0.596844248473644;133;41
"6393621";2018-12-17;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6394348";2018-12-17;2021-07-14;2;41;37;-0.0375264037328844;0.273074163937565;0.494268991755989;133;41
"6396185";2018-12-17;2021-07-14;1;41;37;-0.0379195072289024;0.261478667294915;0.525863023740905;133;41
"6396198";2018-12-17;2021-07-14;1;41;37;-0.113310762814113;0.276932496384685;0.507881590298244;133;41
"6396344";2018-12-17;2021-07-14;2;41;37;-0.0348292347043753;0.311855613302067;0.566903374261326;133;41
"6396364";2018-12-17;2021-07-14;1;41;37;-0.0371338196098805;0.307888847539163;0.571644032001495;133;41
"6397734";2018-12-17;2021-07-14;1;41;37;-0.0365590990210573;0.491551919611129;0.841882298390071;133;41
"6397830";2018-12-17;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6398496";2018-12-17;2021-07-14;1;41;37;-0.037468179975721;0.236147438279958;0.457269008525393;133;41
"6400127";2018-12-17;2021-07-14;1;41;37;-0.0248901234673602;0.290908429184302;0.559978996004377;133;41
"6400489";2018-12-17;2021-07-14;1;40;37;-0.0319478735327721;0.115968093937593;0.24216291308403;134;40
"6400989";2019-07-05;2021-07-09;1;40;37;-0.0254237279295921;0.175243752654955;0.464522242546082;134;40
"6400993";2019-07-05;2021-07-09;1;40;37;-0.0380530990660191;0.140596909667652;0.339927345514298;134;40
"6400994";2019-07-05;2021-07-09;1;40;37;-0.021367521956563;0.158356414728193;0.600806474685669;134;40
"6400997";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6401005";2019-07-05;2021-07-09;1;40;37;-0.0231759659945965;0.144449964291659;0.270129859447479;134;40
"6401855";2019-07-05;2021-07-14;1;40;37;-0.0455547384917736;0.120131547003289;0.226053640246391;134;40
"6402168";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6402172";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6402214";2019-07-05;2021-07-14;1;40;37;-0.0302025051237757;0.273034306355272;0.510028485622671;134;40
"6406085";2018-12-17;2021-07-14;1;41;37;-0.0390207705398401;0.261137164804447;0.517293160160383;133;41
"6406092";2018-12-17;2021-07-14;1;41;37;-0.0343365396062533;0.174748600111489;0.419699887434642;133;41
"6406280";2018-12-17;2021-07-14;1;41;37;-0.0328556187450886;0.15146423178844;0.363226547837257;133;41
"6409317";2018-12-17;2021-07-14;1;41;37;-0.0274651050567627;0.193983155248435;0.498168498277664;133;41
"6410146";2018-12-17;2021-07-14;1;41;37;-0.0390445552766323;0.152383007865427;0.537023723125458;133;41
"6412073";2018-12-17;2021-07-14;1;41;37;-0.0310380654409528;0.237718803000535;0.555801120897134;133;41
"6416024";2018-12-17;2021-07-14;1;41;37;-0.0453283558599651;0.148462478887179;0.30765525624156;133;41
"6416203";2018-12-17;2021-07-14;1;41;37;-0.0307349674403667;0.195562521439515;0.515899956226349;133;41
"6416226";2018-12-17;2021-07-14;1;41;37;-0.0290394686162472;0.360261548400966;0.663793603579203;133;41
"6420135";2018-12-17;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6422694";2018-12-17;2021-07-14;1;41;37;-0.026705691324813;0.266715744693606;0.585946266140257;133;41
"6429112";2018-12-17;2021-07-14;1;41;37;-0.035651996317837;0.302937255978225;0.528726402256224;133;41
"6429753";2018-12-17;2021-07-14;1;41;37;-0.0403241444040429;0.209754014076974;0.358407521789724;133;41
"6429769";2018-12-17;2021-07-14;1;41;37;-0.0290240748888916;0.203320456579162;0.400947110520469;133;41
"6429987";2018-12-17;2021-07-14;1;41;37;-0.0458299079909921;0.311947499530318;0.602605253458023;133;41
"6430564";2018-12-17;2021-07-14;1;41;37;-0.123255278170109;0.225146463437573;0.432251167297363;133;41
"6430577";2018-12-17;2021-07-14;1;40;37;-0.0329060004177419;0.341529592934652;0.696896135807037;134;40
"6430918";2018-12-17;2021-07-14;1;41;37;-0.0390990506857634;0.181887850301258;0.463939428329468;133;41
"6431079";2018-12-17;2021-07-14;1;41;37;-0.0475744213908911;0.222543720465538;0.507377669215202;133;41
"6431097";2018-12-17;2021-07-14;1;41;37;-0.0657206848263741;0.0842310429421162;0.295581519603729;133;41
