"Contrato";"Fecha_Min";"Fecha_Max";"NDVI.scl_7_8_9.n_TotalD";"NDVI.scl_7_8_9.n_TotalNA";"NDVI.scl_7_8_9.n_MaxNA";"NDVI.scl_7_8_9.Mean_Min";"NDVI.scl_7_8_9.Mean_Mean";"NDVI.scl_7_8_9.Mean_Max";"NDVI.scl_7_8_9.Mean_TotalNoNA";"NDVI.scl_7_8_9.Mean_TotalNA"
"6351960";2019-07-05;2021-07-14;7;41;37;0.0225042019571577;0.676722390481824;0.830895040716444;93;81
"6353617";2019-07-05;2021-07-14;4;41;37;0.0393015863373876;0.414124876005752;0.615441061556339;84;90
"6354706";2019-07-05;2021-07-14;10;41;37;0.000393184666441252;0.407293776765441;0.522126088539759;87;87
"6355390";2019-07-05;2021-07-14;3;41;37;-0.104923468083143;0.407381436118703;0.589345544576645;89;85
"6355405";2019-07-05;2021-07-14;5;41;37;0.143308743834496;0.604007444282373;0.761074364185333;85;89
"6357841";2019-07-05;2021-07-14;2;41;37;-0.0188216045498848;0.206014600435921;0.407304674386978;89;85
"6358872";2019-07-05;2021-07-14;2;41;37;0.033026035875082;0.439833459246791;0.605024248361588;66;108
"6358890";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6361595";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6364682";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6369773";2019-07-05;2021-07-14;4;41;37;0.0355883517069742;0.503343419867061;0.643751609325409;87;87
"6369836";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6373373";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6373376";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6373402";2019-07-05;2021-07-14;1;87;37;Inf;NA;-Inf;0;174
"6373577";2019-07-05;2021-07-14;12;41;37;0.0135382727057731;0.66754449843787;0.846946760695031;92;82
"6373793";2019-07-05;2021-07-14;2;41;37;0.016096455976367;0.52075226110399;0.823526899019877;86;88
"6377862";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6378402";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6384426";2019-07-05;2021-07-14;2;41;37;0.125976327806711;0.465006035202268;0.637465506792069;88;86
"6391856";2019-07-05;2021-07-14;2;41;37;0.222102589905262;0.504348545833383;0.671989262104034;86;88
"6392760";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6393621";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6394348";2019-07-05;2021-07-14;9;41;37;0.244673186540604;0.419908528611458;0.544825813893614;87;87
"6396185";2019-07-05;2021-07-14;5;41;37;0.0747107975184917;0.351935841571835;0.559815108776093;84;90
"6396198";2019-07-05;2021-07-14;2;41;37;-0.240459769964218;0.274241873777883;0.429069757461548;86;88
"6396344";2019-07-05;2021-07-14;5;41;37;0.0657331092904011;0.452804774509164;0.620282553136349;89;85
"6396364";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6397734";2019-07-05;2021-07-14;4;41;37;0.158812759816647;0.680729091647001;0.896796119213104;91;83
"6397830";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6398496";2019-07-05;2021-07-14;5;41;37;0.13422067463398;0.366453841080268;0.513396975894769;85;89
"6400127";2019-07-05;2021-07-14;2;41;37;0.259042978286743;0.485577324909322;0.676466584205627;85;89
"6400489";2019-07-05;2021-07-14;1;40;37;Inf;NA;-Inf;0;174
"6400989";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6400993";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6400994";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6400997";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6401005";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6401855";2019-07-05;2021-07-14;1;40;37;Inf;NA;-Inf;0;174
"6402168";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6402172";2019-07-05;2021-07-09;1;40;37;Inf;NA;-Inf;0;174
"6402214";2019-07-05;2021-07-14;8;40;37;-0.0416375529021025;0.373628100237021;0.547435784339905;91;83
"6406085";2019-07-05;2021-07-14;2;41;37;0.255944110453129;0.422425751475727;0.558635890483856;85;89
"6406092";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6406280";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6409317";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6410146";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6412073";2019-07-05;2021-07-14;3;41;37;0.0537225129276825;0.238125058062895;0.54625558356444;85;89
"6416024";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6416203";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6416226";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6420135";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6422694";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6429112";2019-07-05;2021-07-14;2;41;37;0.0343667380511761;0.453756674734312;0.727925658226013;86;88
"6429753";2019-07-05;2021-07-14;4;41;37;0.0353872645646334;0.292393210072561;0.412589728832245;86;88
"6429769";2019-07-05;2021-07-14;4;41;37;0.0540904883916179;0.303554179221938;0.436448380351067;91;83
"6429987";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6430564";2019-07-05;2021-07-14;3;41;37;-0.0239262705047925;0.398160074216624;0.546668420235316;88;86
"6430577";2019-07-05;2021-07-14;6;40;37;0.112965397536755;0.473799742003664;0.712889122962952;91;83
"6430918";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6431079";2019-07-05;2021-07-14;2;41;37;-0.086832121014595;0.279086474676631;0.479075531164805;84;90
"6431097";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6431126";2019-07-05;2021-07-14;6;41;37;0.212816324830055;0.439579317862237;0.579959094524384;90;84
"6431127";2019-07-05;2021-07-14;2;41;37;0.104448102414608;0.28351436152883;0.471078544855118;87;87
"6431268";2019-07-05;2021-07-14;2;41;37;0.192049870888392;0.485489697303883;0.663455208142599;86;88
"6431273";2019-07-05;2021-07-14;3;40;37;0.140492806831996;0.42817287326411;0.659712533156077;90;84
"6431327";2019-07-05;2021-07-09;3;40;37;0.00552775443065912;0.373527645903672;0.619836963713169;86;88
"6431331";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6431414";2019-07-05;2021-07-14;2;41;37;0.0153401913121343;0.419042926071034;0.701187074184418;84;90
"6431415";2019-07-05;2021-07-14;3;41;37;0.0132325438316911;0.678353358904133;0.840941488742828;88;86
"6431427";2019-07-05;2021-07-14;3;41;37;0.156769274600915;0.264728138967111;0.414921509368079;86;88
"6431430";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6431521";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6431524";2019-07-05;2021-07-14;2;41;37;-0.115009747445583;0.424432413902745;0.60189950466156;67;107
"6431535";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6432723";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6432724";2019-07-05;2021-07-14;2;40;37;0.0630983375012875;0.251229483908577;0.385513176520665;86;88
"6432725";2019-07-05;2021-07-14;6;41;37;0.011072314163256;0.519994344501854;0.671246300141017;88;86
"6434297";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6434298";2019-07-05;2021-07-14;2;41;37;0.00678101321682334;0.190410554278223;0.616625666618347;89;85
"6434299";2019-07-05;2021-07-14;2;41;37;-0.0423959530889988;0.42985306479288;0.597860991954804;89;85
"6436099";2019-07-05;2021-07-14;2;41;37;0.0177935939282179;0.513078869737942;0.699842035770416;87;87
"6436100";2019-07-05;2021-07-14;2;41;37;0.00225225230678916;0.288804026505783;0.65372508764267;88;86
"6436906";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6436974";2019-07-05;2021-07-14;2;41;37;0.0192369045689702;0.43881468353158;0.654599457979202;88;86
"6437379";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6438510";2019-07-05;2021-07-14;6;82;37;0.0383360063036283;0.427114654761618;0.59956332296133;92;82
"6438908";2019-07-05;2021-07-14;2;41;37;0.0668647810816765;0.423114751690421;0.628400206565857;87;87
"6439676";2019-07-05;2021-07-14;2;41;37;0.314974188804626;0.603532506999644;0.792686641216278;88;86
"6439812";2019-07-05;2021-07-14;2;41;37;0.0334249865263701;0.177390156732349;0.269879311323166;89;85
"6439813";2019-07-05;2021-07-14;3;41;37;0.256103821098804;0.454010541435708;0.574027165770531;89;85
"6439814";2019-07-05;2021-07-14;3;41;37;0.0821129923375944;0.590770141073039;0.785450647274653;93;81
"6439815";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6440330";2019-07-05;2021-07-14;2;41;37;0.0873353555798531;0.636004152911148;0.82766056060791;87;87
"6440364";2019-07-05;2021-07-14;3;41;37;0.0939852446317673;0.27535689646999;0.411918640136719;90;84
"6440366";2019-07-05;2021-07-14;3;41;37;0.0304285804741085;0.321019450432739;0.507869623601437;87;87
"6440893";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6440894";2019-07-05;2021-07-14;2;41;37;0.0105416215956211;0.227704466647796;0.406422019004822;74;100
"6441166";2019-07-05;2021-07-14;2;41;37;0.0175892394036055;0.333108506910503;0.595766127109528;90;84
"6441169";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441171";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441172";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441173";2019-07-05;2021-07-14;2;41;37;0.0126632712781429;0.243956094308357;0.631296187639237;91;83
"6441174";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441175";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441237";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441354";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441356";2019-07-05;2021-07-14;4;41;37;0.0139416096111139;0.509169301765999;0.708834310372671;88;86
"6441467";2019-07-05;2021-07-14;2;41;37;0.018359150737524;0.251426989589347;0.471783310174942;89;85
"6441469";2019-07-05;2021-07-14;4;41;37;0.00615746681837158;0.405112258553797;0.653245680862003;89;85
"6441473";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441899";2019-07-05;2021-07-14;3;41;37;0.0525142526603304;0.292536663095895;0.585804104804993;88;86
"6441902";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6441924";2019-07-05;2021-07-14;2;41;37;0.09502262622118;0.483763523488527;0.649484515190125;84;90
"6442236";2019-07-05;2021-07-14;3;41;37;0.0347804538905621;0.347060385770325;0.535148143768311;87;87
"6442999";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6443000";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6443006";2019-07-05;2021-07-14;2;41;37;0.0239369198679924;0.377939945130154;0.562265932559967;86;88
"6443818";2019-07-05;2021-07-14;3;41;37;0.0233638631179929;0.439160056966828;0.602670937776566;89;85
"6443831";2019-07-05;2021-07-14;2;41;37;0.143555734306574;0.29666529496222;0.489537492394447;86;88
"6444397";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6444401";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6444403";2019-07-05;2021-07-14;2;41;37;-0.0808080807328224;0.132173414288581;0.276268124580383;87;87
"6444406";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6444534";2019-07-05;2021-07-14;2;41;37;0.0738246720284224;0.143616359998904;0.282892525196075;82;92
"6444851";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6445155";2019-07-05;2021-07-14;2;41;37;0.204723209142685;0.391408169006248;0.505705525477727;83;91
"6447936";2019-07-05;2021-07-14;2;40;37;0.056293768187364;0.261865244671645;0.381973733504613;87;87
"6449098";2019-07-05;2021-07-14;2;41;37;0.0168185010552406;0.168403615434486;0.293103456497192;83;91
"6449099";2019-07-05;2021-07-14;3;41;37;0.0119469757191837;0.459909638020453;0.63724971190095;92;82
"6449801";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6449803";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6449806";2019-07-05;2021-07-14;2;41;37;0.0711364969611168;0.301498735002403;0.485040009021759;87;87
"6451307";2019-07-05;2021-07-14;8;41;37;0.103117650747299;0.405217872068355;0.563739607731501;91;83
"6451392";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6451505";2019-07-05;2021-07-14;4;41;37;-0.0941237385074298;0.279716084834724;0.48435889184475;88;86
"6451703";2019-07-05;2021-07-14;3;41;37;0.019465820863843;0.588727917640787;0.802662452061971;89;85
"6452755";2019-07-05;2021-07-14;2;41;37;0.00221116631291807;0.499486799479116;0.783960700035095;86;88
"6453067";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
"6453070";2019-07-05;2021-07-14;2;41;37;0.0182498823851347;0.356140784627522;0.6910640001297;83;91
"6453255";2019-07-05;2021-07-14;2;41;37;-0.0705394223332405;0.387054190128332;0.534591197967529;84;90
"6453259";2019-07-05;2021-07-14;2;41;37;-0.00420396449044347;0.428165387294224;0.587163209915161;89;85
"6453279";2019-07-05;2021-07-14;1;41;37;Inf;NA;-Inf;0;174
