Expl2;Contador;Fecha;Lectura
EMUASA-MURCIA;D01TG072104;2017-09-29T01:50:37Z;5304660
EMUASA-MURCIA;D01TG072104;2017-09-29T02:50:37Z;5304660
EMUASA-MURCIA;D01TG072104;2017-09-29T03:50:37Z;5304660
EMUASA-MURCIA;D01TG072104;2017-09-29T04:50:37Z;5307060
EMUASA-MURCIA;D01TG072104;2017-09-29T05:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-29T06:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-29T07:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-29T08:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-29T13:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-29T14:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-29T15:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-29T16:50:38Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-30T01:50:35Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-30T02:50:35Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-30T03:50:35Z;5307350
EMUASA-MURCIA;D01TG072104;2017-09-30T04:50:35Z;5309850
EMUASA-MURCIA;D01TG072104;2017-09-30T09:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T10:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T11:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T12:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T13:50:37Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T14:50:37Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T15:50:37Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T16:50:37Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T17:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T18:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T19:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T20:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T21:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T22:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-09-30T23:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T00:50:36Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T09:50:34Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T10:50:34Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T11:50:34Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T12:50:34Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T17:50:33Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T18:50:33Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T19:50:33Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T20:50:33Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T21:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T22:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-01T23:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-02T00:50:35Z;5310160
EMUASA-MURCIA;D01TG072104;2017-10-02T05:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T06:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T07:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T08:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T13:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T14:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T15:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T16:50:34Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T21:50:33Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T22:50:33Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-02T23:50:33Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T00:50:33Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T01:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T02:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T03:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T04:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T05:50:32Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T06:50:32Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T07:50:32Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T08:50:32Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T13:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T14:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T15:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-03T16:50:31Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-04T05:50:30Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-04T06:50:30Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-04T07:50:30Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-04T08:50:30Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T05:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T06:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T07:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T08:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T09:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T10:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T11:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-05T12:50:28Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T05:50:27Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T06:50:27Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T07:50:27Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T08:50:27Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T09:50:26Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T10:50:26Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T11:50:26Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-06T12:50:26Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-07T01:50:25Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-07T02:50:25Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-07T03:50:25Z;5311730
EMUASA-MURCIA;D01TG072104;2017-10-07T04:50:25Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-07T05:50:26Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-07T06:50:26Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-07T07:50:26Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-07T08:50:26Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T01:50:23Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T02:50:23Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T03:50:23Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T04:50:23Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T05:50:25Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T06:50:25Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T07:50:25Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T08:50:25Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T09:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T10:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T11:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T12:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T13:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T14:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T15:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T16:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T21:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T22:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-08T23:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-09T00:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-09T13:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-09T14:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-09T15:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-09T16:50:22Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-10T05:50:20Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-10T06:50:20Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-10T07:50:20Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-10T08:50:20Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-10T21:50:19Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-10T22:50:19Z;5313340
EMUASA-MURCIA;D01TG072104;2017-10-10T23:50:19Z;5313340
